Species	Overdispersion	Epsilon_Alpha_rho	Epsilon_Alpha_rho_p	Alpha_Tau_rho	Alpha_Tau_rho_p	mdn_Alph	mdn_Alph_ll	mdn_Alph_ul	mdn_Alph_iw	mdn_Eps	mdn_Eps_ll	mdn_Eps_ul	mdn_Eps_iw	mdn_Tau	mdn_Tau_ll	mdn_Tau_ul	mdn_Tau_iw	Total.N.butterflies	N.sites	N.years	First.year	Last.year
Eurema daira	1.047	0.650066135531699	8.62167638344587e-08	-0.186871327939955	0.159789432826028	4.811	2.11	11.038	8.967	0.30275	-0.09535	0.6976	0.8671	2.731	-5.443	11.214	15.998	NA	72	26	1993	2018
Eurema dina	1.704	1	0.00277777777777778	-0.714285714285714	0.136111111111111	0.1389	0.003985	4.155	4.152	1.2387	0.108	2.465	2.163	5.026	-6.0349	20.622	27.84	NA	6	26	1993	2018
Eurema lisa	1.029	0.871486271011429	0	-0.486524822695036	0	3.238	1.1297	8.059	6.935	0.35483	-0.07271	0.7762	0.863	3.734	-1.884	9.551	11.032	NA	272	26	1993	2018
Eurema mexicana	0.989	0.71008064516129	1.3693938230736e-05	-0.302016129032258	0.0988858012047816	0.3216	0.08456	1.142	1.0534	0.5959	0.08658	1.1277	0.989	-3.423	-8.923	1.5846	10.795	NA	33	26	1993	2018
Eurema nicippe	1.344	0.788930431424993	0	-0.118098000621568	0.0983443848807733	1.671	0.93	2.916	1.986	0.5237	0.08858	0.9738	0.8426	1.914	-4.811	8.986	14.3	NA	228	26	1993	2018
Eurema nise	1.702	0.952380952380953	0.00114087301587302	-0.666666666666667	0.0830853174603175	0.9364	0.05199	16.45	16.39	0.3494	-0.5529	1.182	1.759	-2.3681	-12.12	11.418	25.54	NA	8	26	1993	2018
Eurema proterpia	0.575	0.842424242424242	0.00445902899690778	-0.163636363636364	0.656721421523199	0.03418	0.001142	0.9967	0.9955	1.722	0.5947	2.711	2.052	-1.7243	-10.943	6.235	19.25	NA	10	26	1993	2018
Eurytides marcellus	1.643	0.0620080500894454	0.484620603188654	-0.286130366726297	0.00105641759922375	1.7874	0.567	5.231	4.651	0.3693	-0.08595	0.8003	0.8738	1.8881	-4.882	9.12	14.2	NA	149	26	1993	2018
Eurytides philolaus	116.569	-1	1	1	1	0.04147	3.951e-19	4237499631390000	4237499631390000	0.8316	-9.371	11.03	20.4	-8.641	-59.62	120.27	179.9	NA	2	22	1993	2016
Everes amyntula	1.425	0.470039079461572	0.000855163379923817	-0.393074250976987	0.00603262571448335	1.441	0.483	3.813	3.366	0.2389	-0.17743	0.6401	0.8099	-2.5174	-9.373	4.4297	13.518	NA	50	26	1993	2018
Everes comyntas	1.546	0.333383203889903	3.77553356452053e-09	-0.291883126883897	2.87049853362611e-07	2.895	1.0807	8.258	7.12	0.6424	0.3195	0.9413	0.6282	2.4339	-2.638	8.017	10.517	NA	357	26	1993	2018
Feniseca tarquinius	5.311	0.919832881461398	0	0.16869549757767	0.0391606072629538	1.205	0.7631	1.883	1.124	0.1482	-0.030753	0.3123	0.3486	-0.17698	-3.211	3.0839	6.384	NA	164	26	1993	2018
Ganyra josephina	140.589	1	0.0833333333333333	-1	0.0833333333333333	0.009693	0.0002071	0.4638	0.4636	1.423	0.3782	2.488	2.131	-8.817	-21.67	6.197	27.02	NA	4	23	1993	2016
Gesta gesta	0.772	1	0.333333333333333	-0.5	1	0.06861	0.0002828	15.43	15.43	2.305	-0.3025	4.894	5.232	7.372	-19.97	39.46	56.98	NA	3	23	1993	2018
Glaucopsyche lygdamus	1.261	0.921570564267193	0	0.32737374984566	0.00172079680064455	1.372	0.6263	2.77	2.157	0.3901	0.07744	0.6893	0.6352	-2.68221	-6.982	1.5457	8.473	NA	100	26	1993	2018
Glaucopsyche piasus	1.867	0.816883116883117	4.93042996127188e-06	-0.45974025974026	0.0374330563707636	1.623	0.4876	5.379	4.897	0.114608	-0.384732	0.5864	0.9213	-2.757	-7.589	2.132	10.103	NA	23	26	1993	2018
Grais stigmatica	116.439	-1	1	-1	1	0.9994	3.378e-14	28622352650600	28622352650600	-0.0001225	-7.489	7.48	14.97	-0.003522	-60.41	166	226.4	NA	2	22	1993	2016
Gyrocheilus patrobas	8.183	NA	NA	NA	NA	0.1993	0	Inf	Inf	-0.9113	-37451	37499	74950	-17.1	-100	Inf	Inf	NA	1	15	1999	2018
Habrodais grunus	0.873	0.967857142857143	0	-0.892857142857143	0	0.0227	0.003007	0.1712	0.1683	1.467	0.7282	2.228	1.575	-5.888	-13.87	2.6783	15.917	NA	18	26	1993	2018
Hamadryas amphinome	10.114	NA	NA	NA	NA	0.1321	0	Inf	Inf	-0.4885	-22699	22730	45429	-8.577	-100	Inf	Inf	NA	1	17	1995	2016
Hamadryas februa	122.701	NA	NA	NA	NA	20.92	0.0002046	2089356	2089356	-0.4661	-3.838	2.905	6.743	14.98	-6.554	41.35	47.91	NA	1	17	1995	2016
Hamadryas guatemalena	116.611	-1	0.333333333333333	1	0.333333333333333	0.001879	6.043e-34	5.88831711685e+27	5.88831711685e+27	1.616	-17.63	20.86	38.49	-15.73	-82.6	308	390.6	NA	3	22	1993	2016
Heliconius charithonia	1.317	0.916678058783322	0	-0.0708817498291183	0.60274818285451	4.703	2.2016	9.243	7.779	0.32861	-0.06881	0.7791	0.8902	2.816	-2.705	8.94	11.181	NA	70	26	1993	2018
Heliconius erato	42.932	NA	NA	NA	NA	1.206	0.08266	18.41	18.32	0.1224	-0.7159	0.9507	1.667	1.722	-19.95	29.25	49.2	NA	1	17	1995	2016
Heliopetes domicella	4.392	1	0.0833333333333333	-0.8	0.333333333333333	3.144	0.1827	51.98	51.8	0.002895	-0.6966	0.6712	1.336	-0.4621	-9.763	8.573	17.08	NA	4	26	1993	2018
Heliopetes ericetorum	1.199	0.837944664031621	1.70703620223402e-06	0.109683794466403	0.617141302372702	0.6167	0.1407	2.646	2.502	0.4737	-0.12433	1.1307	1.245	-2.559	-7.098	2.771	9.88	NA	26	26	1993	2018
Heliopetes laviana	1.228	0.9	0.0833333333333333	-0.6	0.35	0.1682	0.008968	3.068	3.059	1.527	0.3233	2.604	2.264	6.787	-11.375	21.4726	32.19	NA	5	24	1993	2016
Heliopetes macaira	1.194	0.857142857142857	0.0238095238095238	-0.428571428571428	0.353571428571429	2.893	0.2103	40.46	40.25	0.7206	-0.05599	1.51	1.68	11.938	-0.7935	29.48	30.76	NA	7	25	1993	2018
Heliopetes sublinea	51.644	NA	NA	NA	NA	7.033e-60	0	Inf	Inf	-40.45	-166870	166875	333745	-100	-100	Inf	Inf	NA	1	17	1995	2016
Hemiargus ceraunus	1.07	0.67541382667965	0	0.232205452775073	0.0396915200499088	2.228	0.9735	4.889	3.877	0.592	0.1387	1.0507	0.9576	1.5152	-7.336	10.513	17.635	NA	98	26	1993	2018
Hemiargus isola	1.21	0.858447488584475	0	-0.721043153900572	0	1.859	0.7839	3.971	3.241	0.26174	-0.14273	0.687	0.8322	-0.5308	-5.961	5.458	11.035	NA	78	26	1993	2018
Hermeuptychia sosybius	1.267	0.287943351691581	0.00123411927319778	-0.177554681353265	0.0486234631627748	2.689	1.3321	5.226	3.923	0.60992	0.1855	1.0673	0.9117	-0.3723	-6.29	6.128	11.845	NA	143	26	1993	2018
Hesperia attalus	2.797	0.983516483516483	0	-0.0384615384615385	0.906202123878284	0.5522	0.04796	6.569	6.522	0.4441	-0.40727	1.313	1.69	0.79963	-8.149	10.135	17.08	NA	13	26	1993	2018
Hesperia columbia	154.213	0.5	1	-1	0.333333333333333	1.228	0.0007857	2140	2140	0.07454	-2.484	2.577	5.061	0.4239	-9.072	10.32	19.38	NA	4	26	1993	2018
Hesperia comma	1.3	0.915686274509804	0	-0.250700280112045	0.146024458242302	4.07	1.507	11	9.529	0.05489	-0.5098	0.6211	1.0806	0.9226	-6.1586	9.274	16.01	NA	37	26	1993	2018
Hesperia dacotae	130.467	1	0.333333333333333	-1	0.333333333333333	3.53	0.001905	7314	7314	-0.3907	-3.069	2.24	5.309	3.416	-17.87	30.72	48.59	NA	3	26	1993	2018
Hesperia juba	2.384	0.926153846153846	1.09889291703986e-06	-0.571965811965812	0.0026842983843545	3.836	1.285	11.76	10.459	-0.026995	-0.4651	0.4015	0.8404	1.6229	-2.365	6.032	8.602	NA	27	26	1993	2018
Hesperia leonardus	1.571	0.885714285714286	0.0333333333333333	-0.885714285714286	0.0333333333333333	0.5648	0.00678	55.37	55.36	0.4622	-0.8885	1.577	2.46	-5.97	-32.14	29.08	61.14	NA	6	26	1993	2018
Hesperia lindseyi	1.673	1	0.0833333333333333	0.4	0.75	1.742	0.02547	57.23	57.21	-0.04921	-1.092	1.188	2.25	-8.372	-28.67	21.87	50.49	NA	5	26	1993	2018
Hesperia meskei	73.271	0.967032967032967	0	0.241758241758242	0.425758800174326	4.887	0.2232	99.3	99.07	-0.3867	-1.362	0.5817	1.958	-0.7949	-17.729	18.67	32.23	NA	14	26	1993	2018
Hesperia metea	55.581	NA	NA	NA	NA	25.09	0.2685	3219	3219	-1.129	-2.353	0.02502	2.378	-23.74	-39.79	-2.056	37.74	NA	1	25	1994	2018
Hesperia miriamae	49.291	NA	NA	NA	NA	0.5635	0	Inf	Inf	-0.2142	-14933	14921	29854	-31.87	-100	Inf	Inf	NA	1	11	2005	2018
Hesperia nevada	2.568	0.826470588235294	9.55995231668014e-05	-0.726470588235294	0.00204770961184661	4.355	0.8702	22.81	21.96	-0.05179	-0.6108	0.4257	1.0673	1.5035	-4.664	11.365	15.41	NA	16	26	1993	2018
Hesperia ottoe	1.376	0.983333333333333	4.96031746031746e-05	-0.983333333333333	4.96031746031746e-05	3.831	0.167	80.66	80.49	0.10421	-0.8514	1.1444	2.07	2.9133	-7.507	12.986	20.68	NA	10	26	1993	2018
Hesperia pahaska	1.558	0.745454545454545	0.0184138413143277	-0.939393939393939	0	0.1408	0.02254	0.7693	0.7451	0.7849	0.3027	1.254	0.9385	-6.478	-11.321	-1.9297	9.492	NA	10	26	1993	2018
Hesperia sassacus	2.365	0.269657724329325	0.0670534926371371	-0.831174838112859	0	4.563	1.786	10.659	8.848	-0.13022	-0.4353	0.1799	0.6238	1.1684	-3.0435	5.85	9.153	NA	55	26	1993	2018
Hesperia uncas	95.078	0.901098901098901	0	-0.686813186813187	0.0120133547062648	0.8462	0.2048	3.63	3.424	0.2514	-0.2423	0.7276	0.966	-1.0891	-6.227	4.959	11.795	NA	14	26	1993	2018
Hesperia viridis	2.082	0.892857142857143	0.0123015873015873	-0.964285714285714	0.00277777777777778	0.7198	0.08597	5.346	5.251	0.5951	-0.3188	1.368	1.672	0.6709	-10.46	10.944	22.903	NA	7	26	1993	2018
Hesperia woodgatei	118.908	NA	NA	NA	NA	0.9999	0.1027	9.7	9.597	-1.069e-05	-0.68	0.6791	1.359	-0.000235	-15.08	17.74	32.81	NA	1	26	1993	2018
Hesperopsis alpheus	4.111	1	1	1	1	9.202	0.02409	4593	4593	-0.1852	-1.71	1.305	3.015	1.9653	-6.474	15.44	21.91	NA	2	26	1993	2018
Hesperopsis libya	11.18	1	1	-1	1	0.00148	4.918e-09	135	135	1.619	-0.4748	3.814	4.289	-23.37	-58.37	36.24	94.61	NA	2	24	1995	2018
Historis acheronta	4.324	NA	NA	NA	NA	0.1614	0	Inf	Inf	-0.3438	-18136	18124	36260	-50.03	-100	Inf	Inf	NA	1	17	1995	2016
Hylephila phyleus	1.472	0.72366354823414	0	-0.109862996904404	0.0915004466238778	1.7882	0.6818	4.566	3.866	0.5959	0.2464	0.917	0.6788	1.0743	-4.28	6.738	10.775	NA	283	26	1993	2018
Hypaurotis crysalus	2.472	0.885714285714286	0.0333333333333333	-0.771428571428571	0.102777777777778	20.2	0.2816	1691	1690	-0.6076	-1.993	0.5187	2.495	3.807	-11.407	20.2843	32.14	NA	6	26	1993	2018
Junonia coenia	1.169	0.653836012816351	0	-0.138095896791678	0.00984227695090485	3.218	1.2558	8.373	7.015	0.47394	0.11691	0.8209	0.6841	3.803	-1.3269	9.139	10.408	NA	419	26	1993	2018
Junonia evarete	0.917	0.740350877192982	0.000433604967808545	-0.13859649122807	0.570275825717876	14.92	3.123	67.26	64.2	-0.23926	-0.9088	0.3643	1.289	2.5318	-4.5744	10.832	15.92	NA	25	26	1993	2018
Junonia genoveva	0.801	0.66798418972332	0.000920256436010207	-0.123658949745906	0.582162721130976	0.2246	0.02095	2.222	2.203	0.8693	0.14413	1.605	1.466	-3.598	-14.083	8.595	21.302	NA	24	26	1993	2018
Kricogonia lyside	0.511	0.68961038961039	0.000758162291815782	-0.894805194805195	2.64525628201678e-06	6.249	0.724	57.9	57.23	-0.01879	-0.8725	0.9346	1.756	-3.417	-11.952	7.336	18.79	NA	23	26	1993	2018
Leptotes cassius	1.382	0.938836772983114	0	-0.450281425891182	0.00386675240328515	4.816	1.944	11.41	9.319	0.25064	-0.2883	0.8591	1.0785	2.715	-3.997	10.475	14.014	NA	55	26	1993	2018
Leptotes marina	1.148	0.895565610859728	0	-0.418642533936652	0.00242128336028342	1.938	0.5993	4.399	3.809	0.19846	-0.3234	0.7629	1.0537	-0.4974	-8.169	7.883	15.42	NA	57	26	1993	2018
Lerema accius	1.691	0.631230177474864	0	-0.0859726413002613	0.30179267818417	1.217	0.569	2.402	1.841	0.5222	0.0925	0.9122	0.8034	2.115	-5.248	9.993	15.224	NA	170	26	1993	2018
Lerodea arabus	72.901	0.964285714285714	0.00277777777777778	-0.5	0.266666666666667	0.6606	0.007864	46.28	46.27	0.4703	-0.6454	1.659	2.36	6.714	-11.74	35.05	49.17	NA	7	26	1993	2018
Lerodea dysaules	98.133	1	0.333333333333333	-1	0.333333333333333	2.202	0.02185	218.5	218.5	-0.1234	-1.38	1.127	2.507	-2.29967	-16.1	13.81	29.87	NA	3	22	1993	2016
Lerodea eufala	2.2	0.726335162164039	0	-0.0560872282797416	0.542372013040998	1.261	0.7247	2.153	1.43	0.22754	-0.09398	0.5558	0.6456	-0.4512	-4.3386	4.099	8.532	NA	140	26	1993	2018
Libytheana carinenta	1.098	0.692047539106363	0	-0.207726772432655	0.00194281802524571	1.1189	0.3303	3.451	3.102	0.4351	-0.017852	0.8861	0.9351	0.09918	-4.672	5.195	9.525	NA	247	26	1993	2018
Limenitis archippus	2.422	0.793748268444917	0	-0.0811948806102967	0.136255527242964	0.8139	0.5324	1.215	0.6817	0.5367	0.29435	0.7642	0.456	-1.06191	-5.0732	3.162	8.291	NA	401	26	1993	2018
Limenitis arthemis	1.759	0.497998408071713	0	-0.110341764970066	0.0479281396529867	1.2081	0.4985	2.841	2.332	0.5958	0.3311	0.848	0.5186	-0.6079	-4.1696	3.119	7.149	NA	382	26	1993	2018
Limenitis lorquini	2.578	0.925593609804136	0	0.386366123208228	0.0171582479955505	2.626	1.2556	5.12	3.914	0.6023	0.3316	0.8723	0.6134	0.49205	-2.5367	4.175	6.965	NA	44	26	1993	2018
Limenitis weidemeyerii	2.017	0.846153846153846	0.000178547225802953	-0.70989010989011	0.00597220226870214	0.9592	0.3864	2.41	2.057	0.6344	0.21896	1.0413	0.9286	-1.786	-6.465	2.9892	10.313	NA	16	26	1993	2018
Lycaeides idas	0.996	0.536764705882353	0.0283494358284639	-0.0906862745098039	0.72970303386179	6.174	1.2807	23.63	22.29	0.4247	-0.2416	1.2437	1.3471	2.9111	-7.254	12.6621	19.29	NA	17	26	1993	2018
Lycaeides melissa	1.137	0.796161909369456	0	-0.43347847121432	0.00131111257247825	3.161	1.2111	7.476	6.341	0.3209	-0.171269	0.7773	0.9768	-1.3003	-7.862	5.641	13.66	NA	58	26	1993	2018
Lycaena arota	1.556	0.321428571428571	0.242415461665461	-0.178571428571429	0.523513367920213	2.246	0.5774	8.461	7.847	0.09963	-0.51844	0.6178	1.104	-0.8808	-10.017	8.948	16.94	NA	18	26	1993	2018
Lycaena cupreus	2.335	0.696969696969697	0.0311410954595681	-0.878787878787879	0.0019770587107552	0.381	0.04506	3.077	3.033	0.3993	-0.31367	1.1423	1.419	-9.69	-19.12	-1.238	17.2	NA	10	26	1993	2018
Lycaena dione	1.697	0.972715572715573	0	-0.39021879021879	0.0192691805089351	1.12	0.4268	2.868	2.445	0.2351	-0.14111	0.6312	0.7679	-3.653	-9.324	2.6602	11.703	NA	38	26	1993	2018
Lycaena dorcas	1.267	0.899509803921569	0	-0.759803921568628	0.00061331078342132	3.505	0.7448	15.91	15.15	0.04103	-0.7166	0.7668	1.425	-2.628	-11.046	7.58	16.35	NA	17	26	1993	2018
Lycaena editha	1.723	0.917857142857143	0	-0.203571428571429	0.465749711122254	2.317	0.6966	7.532	6.906	0.4848	-0.029833	0.9241	0.9662	2.2819	-4.612	11.006	13.919	NA	15	26	1993	2018
Lycaena epixanthe	1.175	0.898069498069498	0	-0.49009009009009	0.00270385535239736	5.648	2.041	15.55	13.58	0.258536	-0.3131	0.7606	1.0603	0.1522	-4.966	6.662	12.05	NA	40	26	1993	2018
Lycaena gorgon	2.508	0.409090909090909	0.213864224336727	-0.0636363636363636	0.860103507719015	1.035	0.2701	3.967	3.7	0.499	-0.1241	1.055	1.1282	-1.6627	-7.881	6.99021	14.178	NA	15	26	1993	2018
Lycaena helloides	1.114	0.78211245562469	0	-0.250486696950032	0.0396382242188929	2.429	0.9943	5.701	4.727	0.148562	-0.3009	0.5955	0.947	-1.091	-5.644	4.5958	10.165	NA	74	26	1993	2018
Lycaena heteronea	1.053	0.948051948051948	3.97738009413851e-06	0.235460191981931	0.290108446347552	4.574	0.8224	21.88	20.87	0.3197	-0.16159	0.8683	1.0619	1.2401	-7.2013	10.78	16.47	NA	23	26	1993	2018
Lycaena hyllus	2.525	0.676038903625111	0	-0.46425528494494	6.93578764473557e-09	0.7366	0.4301	1.235	0.8056	0.3955	0.1267	0.6576	0.5296	-2.202	-5.267	1.2708	6.504	NA	160	26	1993	2018
Lycaena mariposa	2.042	0.745454545454545	0.0184138413143277	-0.515151515151515	0.132823060175966	1.526	0.2876	6.894	6.616	0.6325	-0.01951	1.279	1.3575	2.684	-2.47	10.052	12.838	NA	10	26	1993	2018
Lycaena nivalis	1.244	0.991176470588235	3.24347271672809e-06	-0.9	0	1.703	0.2962	8.782	8.475	0.6537	0.04613	1.286	1.2987	2.496	-5.241	11.6765	19.383	NA	16	26	1993	2018
Lycaena phlaeas	1.163	0.783977455716586	0	0.102659880377272	0.194803154844008	1.587	0.8008	2.838	2.051	0.43022	-0.00704	0.8773	0.8415	-0.8878	-6.5202	5.284	11.865	NA	197	26	1993	2018
Lycaena rubidus	1.754	0.544117647058823	0.0316379602842238	-0.552941176470588	0.0285876158585003	6.816	1.297	31.3	29.97	-0.2617	-0.8404	0.3207	1.176	-1.7764	-10.181	6.093	15.59	NA	17	26	1993	2018
Lycaena xanthoides	1.883	0.593506493506494	0.00536970156130125	-0.231168831168831	0.311867652942965	1.103	0.3193	3.862	3.525	0.5654	0.01934	1.0359	0.989	-1.7142	-8.328	6.413	14.599	NA	24	26	1993	2018
Marpesia chiron	18.639	NA	NA	NA	NA	0.334	0	Inf	Inf	-0.234	-26685	26663	53348	-21.4	-100	Inf	Inf	NA	1	17	1995	2016
Marpesia petreus	1.575	0.877450980392157	0	-0.718137254901961	0.00165183106670571	1.471	0.4955	4.48	4	0.7568	0.24597	1.193	0.9884	6.799	-2.4757	13.678	17.677	NA	22	26	1993	2018
Megathymus cofaqui	195.941	1	1	-1	1	2.156	0.05454	57.26	57.21	-0.1167	-1.27	1.1993	2.47	-1.306	-11.49	10.394	21.88	NA	2	18	2001	2018
Megathymus streckeri	128.98	NA	NA	NA	NA	0.003936	1.002e-06	16.09	16.09	3.702	-0.6366	8.011	8.648	21.61	-2.406	51.42	53.83	NA	1	11	1993	2004
Megathymus ursus	117.428	1	1	1	1	0.9986	2.926e-27	3.62543876211e+26	3.62543876211e+26	-0.000314	-14.11	14.12	28.23	-0.0011595	-28.38	42.81	71.19	NA	2	26	1993	2018
Megathymus yuccae	111.672	1	0.00277777777777778	-1	0.00277777777777778	45.08	1.276	2130	2129	-0.7334	-2.065	0.6399	2.788	10.617	-10.893	44.72	56.83	NA	6	25	1994	2018
Megisto cymela	1.384	0.576293254915016	0	-0.296513097461885	8.26909372023615e-07	2.602	0.9545	6.602	5.613	0.39571	-0.056	0.826	0.8717	-0.7416	-6.213	5.228	10.687	NA	319	26	1993	2018
Megisto rubricata	1.101	0.833333333333333	0.00826719576719577	0.533333333333333	0.147525352733686	0.2051	0.009679	4.263	4.253	0.9497	0.04949	1.879	1.689	-2.836	-11.668	5.273	16.764	NA	9	26	1993	2018
Melanis pixe	1.704	1	1	1	1	1.029	0.03199	29.52	29.49	1.098	0.07683	2.084	2.007	16.17	0.22	35.81	35.59	NA	2	22	1993	2016
Mestra amymone	1.443	0.923076923076923	0	-0.884615384615385	0	0.5996	0.06664	5.394	5.336	0.7199	-0.08779	1.531	1.591	4.04	-4.249	14.969	20.16	NA	14	26	1993	2018
Microtia elva	123.516	NA	NA	NA	NA	1.219e-07	3.528e-15	4.199	4.199	3.997	-0.3297	8.316	8.646	-22.21	-62.25	60.11	122.4	NA	1	26	1993	2018
Ministrymon azia	89.058	1	0	-0.772727272727273	0.00806166279658787	2.591	0.11252	53.27	53.17	0.2222	-0.9755	1.469	2.429	6.698	-2.321	17.02	19.49	NA	11	26	1993	2018
Ministrymon clytie	0.769	1	1	1	1	11.06	0.08225	1348	1348	0.4767	-0.93	1.83	2.76	14.37	-5.737	39.87	45.6	NA	2	22	1993	2016
Ministrymon leda	0.649	0.979020979020979	0	-0.951048951048951	0	0.4621	0.03771	5.934	5.893	0.6817	-0.14945	1.424	1.643	-6.131	-12.42	4.095	18.025	NA	12	26	1993	2018
Myscelia cyananthe	119.332	NA	NA	NA	NA	0.9999	0.1051	9.482	9.376	-8.439e-06	-0.5543	0.5536	1.108	-0.0002389	-15.32	18.08	33.4	NA	1	26	1993	2018
Myscelia ethusa	1.61	0.5	1	0.5	1	3.203	0.2837	36.41	36.13	0.5504	-0.231	1.29	1.535	5.504	-3.632	15.26	18.16	NA	3	22	1993	2016
Nastra julia	10.305	0.985294117647059	4.58889014915586e-07	0.0235294117647059	0.93450669542392	1.717	0.3566	8.575	8.228	0.06122	-0.5042	0.6067	1.1054	2.1829	-4.187	9.967	14	NA	19	26	1993	2018
Nastra lherminier	2.027	0.0671382053061442	0.445610507653261	-0.684508621149842	0	1.237	0.6754	2.248	1.583	0.24986	-0.10519	0.5778	0.6665	-0.4905	-6.2142	5.654	11.905	NA	146	26	1993	2018
Nastra neamathla	85.317	0.991242474001095	0	0.33223864258347	0.0845600503190802	1.0773	0.289	3.695	3.43	0.1919	-0.2668	0.6865	0.9354	-0.63687	-6.182	5.92	12.088	NA	31	26	1993	2018
Nathalis iole	0.802	0.32122773466517	4.75641865218298e-05	0.07256088887484	0.367625918731855	2.212	0.5664	7.873	7.388	0.591	0.1466	0.9883	0.84	1.9681	-7.495	11.328	17.09	NA	179	26	1993	2018
Neominois ridingsii	1.795	0.976190476190476	0.000396825396825397	-0.666666666666667	0.0830853174603175	0.6577	0.03607	12.24	12.2	0.7389	-0.26477	1.752	1.976	1.8703	-10.285	18.014	27.82	NA	8	26	1993	2018
Neonympha areolata	1.413	0.78	7.60162222923874e-06	-0.136923076923077	0.512344677128291	1.112	0.2781	4.381	4.122	0.7119	0.12618	1.219	1.1358	-0.4621	-7.535	10.3997	18.405	NA	29	26	1993	2018
Neophasia menapia	1.597	0.956140350877193	6.757450225621e-06	-0.9	0	34.09	4.151	288.8	284.5	-0.7336	-1.432	-0.06376	1.392	2.105	-7.431	13.983	20.61	NA	19	26	1993	2018
Neophasia terlooii	94.054	1	0.333333333333333	-1	0.333333333333333	4.613	0.009474	4357	4357	-0.3866	-2.537	1.462	4.028	0.2833	-19.89	18.96	33.86	NA	3	26	1993	2018
Notamblyscirtes simius	69.347	0.5	1	-1	0.333333333333333	7.956	0.00144	29801	29801	0.1924	-1.575	2.028	3.603	11.26	-10.282	34.84	45.13	NA	3	26	1993	2018
Nyctelius nyctelius	120.054	NA	NA	NA	NA	1.138	0.07009	19.13	19.06	0.05801	-0.6806	0.7965	1.477	-3.67	-24.79	23.33	48.13	NA	1	17	1995	2016
Nymphalis antiopa	1.923	0.613354700420156	0	-0.0866017790540183	0.12871154962792	1.1148	0.583	2.051	1.4382	0.3822	0.15629	0.59	0.4427	-0.185	-3.1988	3.058	6.272	NA	364	26	1993	2018
Nymphalis californica	0.47	0.919903709377394	0	0.413064886749097	0.0104665778670292	6.798	0.8573	51.4	50.51	0.4139	-0.4869	1.279	1.757	7.368	-7.78633	24.396	33.03	NA	43	26	1993	2018
Nymphalis milberti	1.407	0.814635651142838	0	-0.609293088988075	0	0.824	0.4534	1.478	1.0262	0.3998	0.08428	0.7275	0.6425	-3.035	-6.137	0.1638	6.253	NA	165	26	1993	2018
Nymphalis vaualbum	1.226	0.952460247494041	0	-0.558428837300421	8.76586169116129e-08	2.536	1.0278	5.751	4.737	0.1324	-0.15962	0.4048	0.5771	2.987	-0.3313	6.491	6.852	NA	94	26	1993	2018
Oarisma edwardsii	2.561	1	0.00277777777777778	-0.485714285714286	0.355555555555556	1.0139	0.02693	28.67	28.64	0.05306	-0.8353	1.04	1.882	-7.761	-14.51	1.6977	17.353	NA	6	26	1993	2018
Oarisma garita	1.279	0.901185770750988	3.25754683716848e-06	-0.576086956521739	0.00468213604350978	2.907	1.0737	8.071	7.042	0.3478	-0.10369	0.7581	0.8351	-2.092	-7.689	4.6424	12.38	NA	24	26	1993	2018
Oarisma poweshiek	2.527	0.8	0.333333333333333	-0.4	0.75	3.243	0.06763	139	139	-0.0517	-1.4797	1.419	2.823	-3.35	-13.7	7.07	21.07	NA	4	26	1993	2018
Ochlodes agricola	1.754	0.909313725490196	0	-0.360294117647059	0.155839438178497	3.36	1.2306	9.005	7.803	0.4699	0.00742	0.9667	1.0072	0.5803	-4.753	6.1527	11.654	NA	23	26	1993	2018
Ochlodes sylvanoides	1.222	0.43249299719888	0.0100250511305951	0.471708683473389	0.00462947170612756	4.502	0.9295	21.173	20.307	-0.03676698	-0.5609	0.4974	1.0612	1.3447	-7.758	9.955	17.02	NA	41	26	1993	2018
Ochlodes yuma	3.933	1	0.00277777777777778	-0.885714285714286	0.0333333333333333	1.575	0.1768	13.19	13.02	0.11882	-0.7358	0.9863	1.68	1.2978	-11.036	16.752	27.78	NA	6	26	1993	2018
Oeneis chryxus	1.032	0.885714285714286	0	-0.393406593406593	0.165148135976131	3.716	1.019	11.95	10.88	0.4234	-0.05415	0.8975	0.9844	-1.7574	-7.606	5.422	11.92	NA	15	26	1993	2018
Oeneis jutta	88.254	0.942857142857143	0.0166666666666667	-0.142857142857143	0.802777777777778	0.8995	0.05826	17.07	17.02	0.2594	-1.0794	1.379	2.467	-3.125	-14.04	10.845	24.12	NA	6	25	1994	2018
Oeneis macounii	2.026	0.9	0.0833333333333333	-0.6	0.35	2.004	0.2842	19.26	18.96	-0.13692	-1.123	0.8416	2.088	-6.256	-15.44	2.5751	18.85	NA	5	26	1993	2018
Oeneis melissa	9.753	NA	NA	NA	NA	1644	1.092	11384336	11384335	-2.029	-6.582	1.793	8.375	100.1	26.23	224.1	197.8	NA	1	7	1993	1999
Oeneis nevadensis	1.372	0.942857142857143	0.0166666666666667	-0.428571428571429	0.419444444444444	16.75	0.9482	282.5	281.6	0.007472	-0.9239	0.9266	1.91	0.5539	-8.111	11.517	19.65	NA	6	26	1993	2018
Oeneis polixenes	119.657	NA	NA	NA	NA	1.884	0.1398	29.39	29.25	0.3492	-1.133	1.858	2.991	-5.354	-27.45	23.51	50.95	NA	1	17	1999	2018
