Species	Overdispersion	Epsilon_Alpha_rho	Epsilon_Alpha_rho_p	Alpha_Tau_rho	Alpha_Tau_rho_p	mdn_Alph	mdn_Alph_ll	mdn_Alph_ul	mdn_Alph_iw	mdn_Eps	mdn_Eps_ll	mdn_Eps_ul	mdn_Eps_iw	mdn_Tau	mdn_Tau_ll	mdn_Tau_ul	mdn_Tau_iw	Total.N.butterflies	N.sites	N.years	First.year	Last.year
Copaeodes minimus	1.24	0.525573692220465	1.02204515467536e-07	-0.276834472262839	0.00739302150487838	1.138	0.5732	2.19	1.636	0.5616	0.18303	0.8973	0.7356	-1.6784	-8.502	5.091	13.609	NA	113	26	1993	2018
Cyanophrys herodotus	31.159	NA	NA	NA	NA	4.645e-16	0	Inf	Inf	-10.48	-62532	62554	125086	-36.34	-100	Inf	Inf	NA	1	17	1995	2016
Cyclargus ammon	1.102	NA	NA	NA	NA	1563	7.257e-22	2.50508353154e+27	2.50508353154e+27	-3.073	-25.24	19.17	44.42	-14.79	-55.2	61.63	116.8	NA	1	22	1997	2018
Cyclargus thomasi	1.017	1	1	-1	1	61.33	1.32e-09	935196360	935196360	-0.3232	-6.995	9.488	16.48	7.429	-23.49	51.31	74.8	NA	2	24	1995	2018
Cyllopsis gemma	2.064	0.655977043673012	0	-0.355683090705487	0.000438502898752114	1.316	0.673	2.511	1.839	0.2998	-0.009284	0.5711	0.5966	-0.2704	-6.157	5.742	11.69	NA	104	26	1993	2018
Cyllopsis pertepida	3.646	1	0.00277777777777778	-0.942857142857143	0.0166666666666667	0.1815	0.007544	2.028	2.02	0.6849	-0.04888	1.605	1.676	-1.6386	-7.57	5.164	13.138	NA	6	26	1993	2018
Cyllopsis pyracmon	1.092	1	0.0166666666666667	-0.9	0.0833333333333333	0.01321	0.0002713	0.6552	0.655	1.282	0.3175	2.21	1.898	-5.737	-11.96	0.5323	13.86	NA	5	26	1993	2018
Cymaenes odilia	1.735	1	0.0833333333333333	-0.8	0.333333333333333	68.7	3.912	1115	1111	-0.09122	-0.9479	0.7531	1.723	28.54	12.923	46.33	31.07	NA	4	23	1993	2016
Cymaenes tripunctus	1.952	0.946753246753247	5.16178188232691e-06	-0.492207792207792	0.0248236884755646	2.627	0.664	10.084	9.415	0.20053	-0.3203	0.7417	1.1343	6.9432	-6.035	21.091	23.79	NA	27	26	1993	2018
Danaus eresimus	1.267	0.971538461538462	7.69143627239224e-07	-0.443076923076923	0.027625593765235	4.92	1.329	17.87	16.54	-0.05299	-0.5392	0.3675	0.937	0.54684	-7.685	10.538	19.833	NA	30	26	1993	2018
Danaus gilippus	1.209	-0.0452082895013676	0.65963197738715	0.360009467704608	0.000319361996796378	1.2505	0.458	3.274	2.812	0.6029	0.1344	1.0829	1.0139	0.9646	-5.5168	7.234	12.409	NA	117	26	1993	2018
Danaus plexippus	1.36	0.78126699103506	0	-0.438108000248628	0	1.6083	0.7638	3.398	2.609	0.7206	0.454846	0.9779	0.5332	1.124531	-2.749	5.131	7.983	NA	484	26	1993	2018
Decinea percosius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	10	1993	2002
Doxocopa laure	101.823	1	1	-1	1	0.1785	0.001578	20.7	20.7	0.846	-0.5926	2.27	2.863	3.345	-14.27	26.3	40.57	NA	2	22	1993	2016
Doxocopa pavon	119.448	NA	NA	NA	NA	1.196	0.07281	20.51	20.44	0.1904	-0.6083	0.9974	1.606	-0.9854	-23.29	27.78	51.07	NA	1	17	1995	2016
Dryadula phaetusa	117.734	NA	NA	NA	NA	0.2371	0	Inf	Inf	-0.3112	-21694	21676	43369	-6.529	-100	Inf	Inf	NA	1	16	1993	2010
Dryas iulia	1.662	0.673992673992674	0.000169008773187536	-0.243589743589744	0.219893416149184	2.836	1.0385	7.616	6.504	0.2546	-0.30882	0.8357	1.1957	2.665	-5.565	11.399	17.822	NA	32	26	1993	2018
