Genus	Species	Family	Subfamily	Native	Habitat	NCGR	OverwinteringStage	MinSouthBroodsPerYear	MaxSouthBroodsPerYear	MinNorthBroodsPerYear	MaxNorthBroodsPerYear	Clutches	LarvalColor	Hair	LarvaSequester	SouthFlightTime	NorthFlightTime	AdultFeeding	MinWingSpan	MaxWingSpan	AdultSize	AdultColor
Oarisma	poweshiek	Hesperiidae	Hesperiinae	yes	natural	G1	larva	1	1	1	1	singly	cryptic	no		June-August (south not specified)	June-August (north not specified)	nectar	25	32	28.5	cryptic
Ochlodes	agricola	Hesperiidae	Hesperiinae	yes	natural	T4		1	1	1	1					May-June (south not specified)	May-June (north not specified)	nectar	22	29	25.5	aposematic
Ochlodes	sylvanoides	Hesperiidae	Hesperiinae	yes	natural	G5	larva	1	1	1	1		cryptic	no		July-October (south not specified)	July-October (north not specified)	nectar	25	32	28.5	aposematic
Ochlodes	yuma	Hesperiidae	Hesperiinae	yes	natural	G5		2	2	2	2		cryptic	no		June-July and August-September from California north to southern Utah; one brood from July-September along the Colorado River	June-July and August-September from California north to southern Utah; one brood from July-September along the Colorado River	nectar	29	35	32.0	aposematic
Oeneis	alberta	Nymphalidae	Satyrinae	yes	natural	G5	larva	1	1	1	1					May-June (south not specified)	May-June (north not specified)		35	57	46.0	cryptic
Oeneis	chryxus	Nymphalidae	Satyrinae	yes	natural	G5	larva	1	1	1	1					May-early June (south not specified)	May-early June (north not specified)	nectar	45	54	49.5	cryptic
Oeneis	jutta	Nymphalidae	Satyrinae	yes	natural	G5	larva	1	1	1	1		cryptic	no		mid-July to early August (south not specified)	mid-July to early August (north not specified)	nectar	48	60	54.0	cryptic
Oeneis	macounii	Nymphalidae	Satyrinae	yes	natural	G5	larva	1	1	1	1					June to early July (south not specified)	June to early July (north not specified)	nectar	57	70	63.5	aposematic
Oeneis	melissa	Nymphalidae	Satyrinae	yes	natural	G5	larva	1	1	1	1					mid-June to early August (south not specified)	mid-June to early August (north not specified)		42	51	46.5	cryptic
Oeneis	nevadensis	Nymphalidae	Satyrinae	yes	natural	G5	larva	1	1	1	1					May-July (south not specified)	May-July (north not specified)		57	63	60.0	cryptic
Oeneis	polixenes	Nymphalidae	Satyrinae	yes	natural	G5	larva	1	1	1	1					mid-June to early August (south not specified)	mid-June to early August (north not specified)	nectar	42	54	48.0	cryptic
Oeneis	taygete	Nymphalidae	Satyrinae	yes	natural	G5	larva	1	1	1	1					 late July (south not specified)	 late July (north not specified)	nectar	37	48	42.5	cryptic
Oeneis	uhleri	Nymphalidae	Satyrinae	yes	natural	G5	larva	1	1	1	1	singly				early June to early July (south not specified)	early June to early July (north not specified)		38	56	47.0	aposematic
Oligoria	maculata	Hesperiidae	Hesperiinae	yes	natural	G4		2	3	2	3		cryptic	no		April-September (south not specified)	April-September (north not specified)	nectar	35	42	38.5	cryptic
Opsiphanes	cassina	Nymphalidae	Morphinae	yes															70	70	70.0	cryptic
Panoquina	errans	Hesperiidae	Hesperiinae	yes	natural	G4										 June-September in California	 June-September in California	nectar	25	32	28.5	cryptic
Panoquina	fusina	Hesperiidae	Hesperiinae	yes	natural	G4										October-November	October-November	nectar	42	45	43.5	cryptic
Panoquina	lucas	Hesperiidae	Hesperiinae	yes	natural	G5							cryptic	no		 August-December	 August-December	nectar	30	45	37.5	cryptic
Panoquina	ocola	Hesperiidae	Hesperiinae	yes	both	G5							cryptic	no		throughout the year in Florida and South Texas.	In warm summer months in the north	nectar	35	43	39.0	cryptic
Panoquina	panoquin	Hesperiidae	Hesperiinae	yes	natural	G5		3	3	2	2					April-October	May-August	nectar	35	39	37.0	cryptic
Panoquina	panoquinoides	Hesperiidae	Hesperiinae	yes	both	G5		2	2							February-December, June-November		nectar	29	32	30.5	cryptic
Panthiades	bathildis	Lycaenidae	Theclinae	yes															30	35	32.5	aposematic
Papilio	anchisiades	Papilionidae	Papilioninae	yes	both	G5						clutches	cryptic	no		 May-October (south not specified)	 May-October (north not specified)	nectar	70	100	85.0	aposematic
Papilio	andraemon	Papilionidae	Papilioninae	yes	natural	G4						singly	aposematic	no		April-October			96	102	99.0	aposematic
Papilio	aristodemus	Papilionidae	Papilioninae	yes	natural	G3	chrysalis					singly	aposematic	no		 late April to mid-June (south not specified)	 late April to mid-June (north not specified)	nectar	92	118	105.0	aposematic
Papilio	astyalus	Papilionidae	Papilioninae	yes	natural	G5												nectar	117	120	118.5	aposematic
Papilio	canadensis	Papilionidae	Papilioninae	yes	natural	G5	chrysalis	1	1	1	1	singly	aposematic	no		 May to mid-July (south not specified)	 May to mid-July (north not specified)	nectar	67	80	73.5	aposematic
Papilio	cresphontes	Papilionidae	Papilioninae	yes	both	G5	chrysalis			2	2		aposematic	yes		all year 	May-September	nectar	102	160	131.0	aposematic
Papilio	erostratus	Papilionidae	Papilioninae	yes															98	98	98.0	aposematic
Papilio	eurymedon	Papilionidae	Papilioninae	yes	natural	G5	chrysalis					singly	cryptic	no		April-July (south not specified)	April-July (north not specified)	nectar	64	90	77.0	aposematic
Papilio	garamas	Papilionidae	Papilioninae	yes	both	G4							cryptic	no		February to November (south not specified)	February to November (north not specified)	Wild fuchsia	120	150	135.0	aposematic
Papilio	glaucus	Papilionidae	Papilioninae	yes	both	G5	chrysalis	3	3	2	2	singly	cryptic	yes		February-November	 May-September	nectar	62	114	88.0	aposematic
Papilio	indra	Papilionidae	Papilioninae	yes	natural	G5	chrysalis					singly	aposematic	yes		March-August (south not specified)	March-August (north not specified)	nectar	62	72	67.0	aposematic
Papilio	joanae	Papilionidae	Papilioninae	yes	natural	G2	chrysalis					singly				April to September (south not specified)	April to September (north not specified)	nectar	82	102	92.0	aposematic
Papilio	machaon	Papilionidae	Papilioninae	yes	both	G5	chrysalis	2	2	1	1	singly	aposematic	yes			May-July	nectar	65	75	70.0	aposematic
Papilio	multicaudata	Papilionidae	Papilioninae	yes	natural	G5	chrysalis			1	1	singly	cryptic	no		most of year	 May to mid-August 	nectar	90	127	108.5	aposematic
Papilio	ornythion	Papilionidae	Papilioninae	yes	both	G5							cryptic	no		April-September (south not specified)	April-September (north not specified)	nectar	83	115	99.0	aposematic
Papilio	palamedes	Papilionidae	Papilioninae	yes	natural	G4 							cryptic	no			March-December	nectar	114	130	122.0	aposematic
Papilio	pilumnus	Papilionidae	Papilioninae	yes	natural	G4							aposematic	yes				nectar	80	100	90.0	aposematic
Papilio	polyxenes	Papilionidae	Papilioninae	yes	both	G5	chrysalis	3	3	2	2	singly	aposematic	yes		April-October	April-October	nectar	80	110	95.0	aposematic
Papilio	rutulus	Papilionidae	Papilioninae	yes	both	G5	chrysalis	1	1	1	1	singly	cryptic	no		 June-July (south not specified)	 June-July (north not specified)	nectar	70	100	85.0	aposematic
Papilio	thoas	Papilionidae	Papilioninae	yes	natural	G5							cryptic	no				nectar	105	128	116.5	aposematic
Papilio	troilus	Papilionidae	Papilioninae	yes	natural	G5	chrysalis	2	2	2	2	singly	aposematic	no				nectar	75	100	87.5	aposematic
Papilio	xuthus	Papilionidae	Papilioninae	no	both	G4							cryptic	no					45	55	50.0	aposematic
Papilio	zelicaon	Papilionidae	Papilioninae	yes	both	G5	chrysalis	1	1	1	1	singly	aposematic	yes		April-July (south not specified)	April-July (north not specified)		70	90	80.0	aposematic
Paramacera	allyni	Nymphalidae	Satyrinae	yes	natural	G4										June-August (south not specified)	June-August (north not specified)		35	48	41.5	cryptic
Paratrytone	snowi	Hesperiidae	Hesperiinae	yes	natural	G5		1	1	1	1	singly				June-August (south not specified)	June-August (north not specified)	nectar	29	35	32.0	cryptic
Parides	montezuma	Papilionidae	Papilioninae	yes															63.5	83.82	73.7	aposematic
Parides	photinus	Papilionidae	Papilioninae	yes															35	39	37.0	aposematic
Parnassius	clodius	Papilionidae	Parnassiinae	yes	natural	G5	eggs					singly	aposematic	no		June - July (south not specified)	June - July (north not specified)	nectar	50	62	56.0	cryptic
Parnassius	eversmanni	Papilionidae	Parnassiinae	yes	natural	G5													48	57	52.5	aposematic
Parnassius	phoebus	Papilionidae	Parnassiinae	yes	natural	G5													45	64	54.5	aposematic
Parrhasius	m-album	Lycaenidae	Theclinae	yes	natural	G5		4	4	3	3		cryptic	yes		February-October	February-October	nectar	32	41	36.5	aposematic
Parrhasius	moctezuma	Lycaenidae	Theclinae	yes															25	25	25.0	aposematic
Pellicia	arina	Hesperiidae	Pyrginae	yes	natural	G4							cryptic	no				nectar	25	38	31.5	cryptic
Phaeostrymon	alcestis	Lycaenidae	Theclinae	yes	natural	G5	eggs					singly				April-July (south not specified)	April-July (north not specified)	nectar	25	38	31.5	aposematic
Philotes	sonorensis	Lycaenidae	Polyommatinae	yes	natural	G3	chrysalis	1	1	1	1	singly	cryptic	yes		February-March (south not specified)	February-March (north not specified)		22	25	23.5	aposematic
Phocides	pigmalion	Hesperiidae	Pyrginae	yes	natural	G4						singly	cryptic	no		November-August in southern Florida	November-August in southern Florida	nectar	48	70	59.0	cryptic
Phocides	polybius	Hesperiidae	Pyrginae	yes	both	G5						singly	aposematic	no		February, April, and June-December in South Texas	February, April, and June-December in South Texas	nectar	42	63	52.5	aposematic
Phocides	urania	Hesperiidae	Pyrginae	yes															51	62	56.5	aposematic
Phoebis	agarithe	Pieridae	Coliadinae	yes	both	G5							cryptic	no		All year in south Texas and south Florida,	All year in south Texas and south Florida,	nectar	57	86	71.5	aposematic
Phoebis	neleis	Pieridae	Coliadinae	yes	both								cryptic	no		most of year	most of year	nectar	60	80	70.0	cryptic
Phoebis	philea	Pieridae	Coliadinae	yes	both	G5						singly	aposematic	yes				nectar	70	102	86.0	aposematic
Phoebis	sennae	Pieridae	Coliadinae	yes	both	G5						singly	aposematic	yes			August or September	nectar	57	80	68.5	cryptic
Phoebis	statira	Pieridae	Coliadinae	yes	natural	G5						singly	cryptic	no				nectar	60	80	70.0	cryptic
Pholisora	catullus	Hesperiidae	Pyrginae	yes	both	G5	larva			2	2	singly	cryptic	no		March-November	May-August	nectar	25	33	29.0	cryptic
Pholisora	mejicana	Hesperiidae	Pyrginae	yes	natural	G5	larva	2	2	2	2	singly				May-August (south not specified)	May-August (north not specified)	nectar	24	30	27.0	cryptic
Phyciodes	ardys	Nymphalidae	Nymphalinae	yes																		aposematic
Phyciodes	argentea	Nymphalidae	Nymphalinae	yes																		aposematic
Phyciodes	batesii	Nymphalidae	Nymphalinae	yes	both	G5	larva	1	1	1	1	clutches				May-July (south not specified)	May-July (north not specified)	nectar	32	45	38.5	aposematic
Phyciodes	campestris	Nymphalidae	Nymphalinae	yes	both	G5	larva					clutches	cryptic	yes		April-October	 June-August	nectar	25	45	35.0	aposematic
Phyciodes	frisia	Nymphalidae	Nymphalinae	yes	both	G4					3	clutches	cryptic	yes				nectar	32	45	38.5	aposematic
Phyciodes	mylitta	Nymphalidae	Nymphalinae	yes	both	G5					2	clutches	cryptic	yes		feb-nov	april-sep	nectar	30	38	34.0	aposematic
Phyciodes	orseis	Nymphalidae	Nymphalinae	yes	natural	G3					1	clutches	cryptic	yes		may-june	may-june	nectar	32	42	37.0	aposematic
Phyciodes	pallida	Nymphalidae	Nymphalinae	yes	natural	G5					1	clutches				april-june	april-june	nectar	35	41	38.0	aposematic
Phyciodes	phaon	Nymphalidae	Nymphalinae	yes	natural 	G5							cryptic	yes		april-sep	feb-oct	nectar	25	38	31.5	aposematic
Phyciodes	picta	Nymphalidae	Nymphalinae	yes	both	G5					3	clutches	cryptic	yes		april-oct	april-oct	nectar	25	38	31.5	cryptic
Phyciodes	selenis	Nymphalidae	Nymphalinae	yes	both	G5	larvae				2	clutches				june-july	june-july	nectar	32	48	40.0	aposematic
Phyciodes	texana	Nymphalidae	Nymphalinae	yes	both	G5						clutches	cryptic	yes		march-nov	march-nov	nectar	32	48	40.0	cryptic
Phyciodes	tharos	Nymphalidae	Nymphalinae	yes	both	G5	larvae				3		cryptic	yes		"thorughout the year"	april-nov	nectar	32	45	38.5	aposematic
Phyciodes	tulcis	Nymphalidae	Nymphalinae																32	35	33.5	aposematic
Phyciodes	vesta	Nymphalidae	Nymphalinae	yes	natural	G5										all year	april-nov	nectar	22	38	30.0	aposematic  
Pieris	napi	Pieridae	Pierinae	yes		G5			2		1	singly	cryptic	yes		april-sep	june-july	nectar	38	57	47.5	aposematic 
Pieris	rapae	Pieridae	Pierinae	no	both	G5	chrysalis	7	8	2	3	singly	cryptic	yes				nectar	45	58	51.5	aposematic 
Pieris	virginiensis	Pieridae	Pierinae	yes	natural 	G3	chrysalis		1		1	singly	cryptic	yes		april-may	may	nectar	45	53	49.0	aposematic 
Piruna	ajijiciensis	Hesperiidae	Hesperiinae																20	20	20.0	cryptic
Piruna	cingo	Hesperiidae	Hesperiinae	yes	natural	G4					1					aug-sep	aug-sep	nectar				cryptic
Piruna	microstictus	Hesperiidae	Hesperiinae	yes		G3					1					june-aug	oct	nectar	22	25	23.5	cryptic
Piruna	penaea	Hesperiidae	Hesperiinae	yes	natural	G4										all year		nectar	21	21	21.0	cryptic
Piruna	pirus	Hesperiidae	Hesperiinae	yes	natural	G5	larva				1		cryptic	yes		june-july	june-july	nectar	25	29	27.0	cryptic
Piruna	polingi	Hesperiidae	Hesperiinae	yes	natural	G4					1					june-aug	june-aug	nectar	25	39	32.0	cryptic
Plebejus	acmon	Lycaenidae	Polyommatinae	yes	natural	G5					1	singly	aposematic	yes		march-oct	march-oct	nectar	20	29	24.5	aposematic
Plebejus	emigdionis	Lycaenidae	Polyommatinae	yes	natural	G1					3	singly	aposematic	yes		april-sep	april-sep		22	29	25.5	aposematic 
Plebejus	icarioides	Lycaenidae	Polyommatinae	yes	natural	G5					2		aposematic 	yes		april-aug	april-aug	nectar	29	35	32.0	aposematic
Plebejus	lupini	Lycaenidae	Polyommatinae	yes	natural	G5						singly	cryptic	yes		june-aug	march-july	nectar	22	29	25.5	aposematic
Plebejus	neurona	Lycaenidae	Polyommatinae	yes	natural	G2					2	singly				may-aug	may-aug	nectar	20	22	21.0	cryptic
Plebejus	saepiolus	Lycaenidae	Polyommatinae	yes	both	G5					1	singly	cryptic	yes		may-july	may-july	nectar	25	32	28.5	aposematic 
Plebejus	shasta	Lycaenidae	Polyommatinae	yes	natural	G5					1	singly				june-aug	june-aug	nectar	22	30	26.0	cryptic
Poanes	aaroni	Hesperiidae	Hesperiinae	yes		G4					2		cryptic	yes		april-oct	may-sep	nectar	33	43	38.0	cryptic
Poanes	hobomok	Hesperiidae	Hesperiinae	yes	both	G5					1	singly				april-july	april-july	nectar	25	43	34.0	cryptic
Poanes	massasoit	Hesperiidae	Hesperiinae	yes	natural	G5					1					june-aug	june-aug	nectar	29	37	33.0	cryptic
Poanes	melane	Hesperiidae	Hesperiinae	yes	both	G5					2		cryptic	yes		march-may, sep-oct	march-may, sep-oct	nectar	32	35	33.5	cryptic
Poanes	taxiles	Hesperiidae	Hesperiinae	yes	natural	G5					1	singly	cryptic	no		june-aug	june-aug	nectar	32	43	37.5	cryptic
Poanes	viator	Hesperiidae	Hesperiinae	yes	natural	G5						singly	aposematic 	yes		june-aug, july-aug, may-aug	june-aug, july-aug, may-aug	nectar	32	57	44.5	cryptic
Poanes	yehl	Hesperiidae	Hesperiinae	yes	natural	G4					2					may-june, aug-nov	may-june, aug-nov	nectar	34	45	39.5	cryptic
Poanes	zabulon	Hesperiidae	Hesperiinae	yes	both	G5					2	singly	cryptic	yes			may-sep	nectar	35	42	38.5	cryptic
Poladryas	arachne	Nymphalidae	Nymphalinae	yes		G5						clutches	aposematic	yes		may-sep	may-sep	nectar	32	45	38.5	aposematic
Polites	baracoa	Hesperiidae	Hesperiinae	yes	both	G4							cryptic	yes		march-nov	march-nov	nectar	22	29	25.5	cryptic
Polites	carus	Hesperiidae	Hesperiinae	yes	natural	G4			3							march-sep	march-sep	nectar	25	32	28.5	cryptic
Polites	draco	Hesperiidae	Hesperiinae	yes	natural	G5					1		cryptic	yes		june-aug	june-aug	nectar	25	32	28.5	cryptic
Polites	mardon	Hesperiidae	Hesperiinae	yes	natural	G2 	chrysalis				1					may-july	may-july	nectar	22	25	23.5	cryptic
Polites	mystic	Hesperiidae	Hesperiinae	yes	both	G5					1	singly				may-aug	may-aug	nectar	29	38	33.5	cryptic
Polites	origenes	Hesperiidae	Hesperiinae	yes	both	G4	larva		2		1					may-sep	june-aug	nectar	29	38	33.5	cryptic
Polites	peckius	Hesperiidae	Hesperiinae	yes	both	G5	chrysalis				3	singly				may-oct	may-oct	nectar	25	32	28.5	cryptic
Polites	rhesus	Hesperiidae	Hesperiinae	yes	natural	G4					1	singly				may-june 	may-june 	nectar	25	32	28.5	cryptic
Polites	sabuleti	Hesperiidae	Hesperiinae	yes	both	G5					1	singly	cryptic	yes		march-oct	june-aug	nectar	22	32	27.0	cryptic
Polites	sonora	Hesperiidae	Hesperiinae	yes	natural	G4					1		cryptic	no			june-aug	nectar	25	32	28.5	aposematic
Polites	themistocles	Hesperiidae	Hesperiinae	yes	both	G5		2			2	singly				april-sep	june-july	nectar	22	36	29.0	cryptic
Polites	vibex	Hesperiidae	Hesperiinae	yes	both	G5					2		cryptic	yes		all year	april-sep	nectar	25	39	32.0	aposematic
Polyctor	enops	Hesperiidae	Pyrginae										cryptic	yes								cryptic
Polygonia	comma	Nymphalidae	Nymphalinae																45	64	54.5	aposematic
Polygonia	faunus	Nymphalidae	Nymphalinae																45	64	54.5	aposematic
Polygonia	gracilis	Nymphalidae	Nymphalinae	yes	natural	G5	adult				1					july-sep	july-sep	nectar, sap	39	57	48.0	aposematic
Polygonia	interrogationis	Nymphalidae	Nymphalinae																57	76	66.5	aposematic
Polygonia	oreas	Nymphalidae	Nymphalinae	yes	natural	G5	adult				1	singly	cryptic	yes		june-oct	june-oct	sap and rotting fruit	42	48	45.0	cryptic
Polygonia	progne	Nymphalidae	Nymphalinae	yes	natural	G5					2	singly	cryptic	yes		june-aug	june-aug	sap  	44	63	53.5	cryptic
Polygonia	satyrus	Nymphalidae	Nymphalinae																45	64	54.5	aposematic
Polygonus	leo	Hesperiidae	Hesperiinae	yes		G5							cryptic	no		may-sep	may-sep	nectar	43	59	51.0	cryptic
Pompeius	verna	Hesperiidae	Hesperiinae	yes	both	G5			2		1		cryptic	no		april-sep	june-aug	nectar	27	39	33.0	cryptic
Pontia	beckerii	Pieridae	Pierinae	yes	natural	G5						singly	aposematic	yes		march-oct	march-oct	nectar	40	50	45.0	aposematic
Pontia	occidentalis	Pieridae	Pierinae	yes	both	G5			2		1	singly	aposematic	yes		may-aug	june-july	nectar	38	53	45.5	aposematic 
Pontia	protodice	Pieridae	Pierinae	yes	both	G5			4		3	singly	aposematic	yes		march-nov	march-nov	nectar	38	63	50.5	aposematic 
Pontia	sisymbrii	Pieridae	Pierinae	yes	both	G5					1	singly	aposematic	yes		feb-july	feb-july		30	45	37.5	aposematic 
Problema	bulenta	Hesperiidae	Hesperiinae	yes		G3				1	2					july-sep	july-sep	nectar	39	54	46.5	cryptic
Problema	byssus	Hesperiidae	Hesperiinae	yes	natural	G4			1		1	singly	cryptic	yes		april-oct	june-july	nectar	37	46	41.5	cryptic
Proteides	mercurius	Hesperiidae	Pyrginae	yes		G5							cryptic	yes		april-oct	april-may	nectar	58	70	64.0	cryptic
Pseudocopaeodes	eunus	Hesperiidae	Hesperiinae	yes	natural	G3							cryptic	no		april-sep	april-sep	nectar	25	32	28.5	cryptic
Pyrgus	albescens	Hesperiidae	Pyrginae	yes	both	G5							cryptic	yes		all year	all year	nectar	25	38	31.5	cryptic
Pyrgus	centaureae	Hesperiidae	Pyrginae	yes	natural	G5			1			singly	cryptic	yes		march-may		nectar	25	33	29.0	cryptic
Pyrgus	communis	Hesperiidae	Pyrginae	yes	both	G5						singly	cryptic	yes		feb-oct	march-sep	nectar	25	38	31.5	cryptic
Pyrgus	oileus	Hesperiidae	Pyrginae	yes	both	G5					5	singly	cryptic	yes				nectar	32	38	35.0	cryptic
Pyrgus	philetas	Hesperiidae	Pyrginae	yes	both	G5					3					feb-dec	april-oct	nectar	25	29	27.0	cryptic
Pyrgus	ruralis	Hesperiidae	Pyrginae	yes	natural	G5					1	singly	cryptic	yes		april-july	april-july	nectar	25	29	27.0	cryptic
Pyrgus	scriptura	Hesperiidae	Pyrginae	yes	both	G5					1	singly	cryptic	yes		march-nov	july-aug	nectar	20	25	22.5	cryptic
Pyrgus	xanthus	Hesperiidae	Pyrginae	yes	natural	G3					1	singly	cryptic	yes		april-june	april-june	nectar	20	25	22.5	cryptic
Pyrisitia	dina	Pieridae	Coliadinae	yes	both	G5		1		1		clutches	cryptic	yes		throughout the year in southern Flordia	November (South Texas), October (southern Arizona)	nectar	32	57	44.5	aposematic
Pyrisitia	nise	Pieridae	Coliadinae	yes	both	G5		1		1		singly	cryptic	yes		all year in the tropics, May - August in southern Flordia	September - November in southern Texas	nectar	29	51	40.0	aposematic
Pyrisitia	proterpia	Pieridae	Coliadinae	yes	both	G5		1		1			cryptic	yes		throughout the year in the tropics	August - November in Texas	nectar	45	57	51.0	aposematic
Pyrrhopyge	araxes	Hesperiidae	Pyrrhopyginae	yes	natural	G5							cryptic	yes		june-nov	june-nov	nectar	45	57	51.0	cryptic
Quasimellana	eulogius	Hesperiidae	Hesperiinae	yes		G5										april-nov	all year	nectar	27	32	29.5	cryptic
Rekoa	marius	Lycaenidae	Theclinae	yes		G5							aposematic	yes		all year	sep-dec	nectar	22	32	27.0	aposematic 
Remella	remus	Hesperiidae	Hesperiinae	yes															25	25	25.0	cryptic
Remella	rita	Hesperiidae	Hesperiinae	yes															26	26	26	aposematic
Rhinthon	osca	Hesperiidae	Hesperiinae	yes		G5							cryptic	yes		may-jan	october	nectar	35	42	38.5	cryptic
Satyrium	acadica	Lycaenidae	Theclinae	yes	both	G5					1		cryptic	yes		june-aug	june-aug	nectar	29	38	33.5	aposematic 
Satyrium	auretorum	Lycaenidae	Theclinae	yes	natural	G4					1	singly				may-july	may-july	nectar	25	32	28.5	cryptic
Satyrium	behrii	Lycaenidae	Theclinae	yes	natural	G5					1	singly	cryptic	yes		june-july	june-july	nectar	25	32	28.5	cryptic
Satyrium	calanus	Lycaenidae	Theclinae	yes	natural	G5					1		cryptic	yes		april-may	june-august	nectar	25	38	31.5	aposematic  
Satyrium	californica	Lycaenidae	Theclinae	yes	natural	G5					1	clutches				may-aug	may-aug	nectar	25	32	28.5	aposematic  
Satyrium	caryaevorum	Lycaenidae	Theclinae	yes	natural	G4					1					june-aug	june-aug	nectar	29	35	32.0	cryptic
Satyrium	edwardsii	Lycaenidae	Theclinae	yes	natural	G4			1		1		cryptic	yes		may-july	june-july	nectar	30	38	34.0	aposematic
Satyrium	favonius	Lycaenidae	Theclinae	yes	natural	G4					1	singly	cryptic	yes		march-june	march-june	nectar	22	38	30.0	aposematic
Satyrium	fuliginosa	Lycaenidae	Theclinae	yes	natural	G4					1	singly	cryptic	yes		july-aug	july-aug	nectar	25	32	28.5	cryptic
Satyrium	kingi	Lycaenidae	Theclinae	yes	natural	G3					1	singly	cryptic	yes		may-july	may-july	nectar	30	38	34.0	aposematic
Satyrium	liparops	Lycaenidae	Theclinae																25	39	32	aposematic
Satyrium	polingi	Lycaenidae	Theclinae	yes		T1					2	singly				may-june, aug-sep	may-june, aug-sep	nectar	25	30	27.5	aposematic
Satyrium	saepium	Lycaenidae	Theclinae	yes	natural	G5					1	singly	cryptic	yes		april-sep	april-sep	nectar	25	32	28.5	aposematic
Satyrium	sylvinus	Lycaenidae	Theclinae	yes	natural	G5					1	singly				may-aug	may-aug	nectar	25	35	30.0	aposematic
Satyrium	tetra	Lycaenidae	Theclinae	yes	natural	G5					1	both	cryptic	yes		june-july	june-july	nectar	25	32	28.5	cryptic
Satyrium	titus	Lycaenidae	Theclinae	yes	natural	G5					1	singly	aposematic	yes		may-aug	may-aug	nectar	25	38	31.5	aposematic
Satyrodes	appalachia	Nymphalidae	Satyrinae	yes		G5			2		1	singly	cryptic	yes		june-oct	july-sep	sap	48	57	52.5	cryptic
Satyrodes	eurydice	Nymphalidae	Satyrinae	yes		G3							cryptic	yes		june-sep	june-sep	sap	38	62	50.0	cryptic
Siproeta	stelenes	Nymphalidae	Nymphalinae	yes	both	G5					4	singly	cryptic	yes				nectar, fruit	83	101	92.0	aposematic
Sostrata	bifasciata	Hesperiidae	Pyrginae	yes		G5			1		1		cryptic	yes		april-oct	october	nectar	24	30	27.0	cryptic
Spathilepia	clonius	Hesperiidae	Pyrginae	yes		G5										all year	may-july, october-november	nectar	42	46	44.0	cryptic
Speyeria	adiaste	Nymphalidae	Heliconiinae	yes	natural	G1					1	singly				june-july	june-july	nectar	50	61	55.5	cryptic
Speyeria	aphrodite	Nymphalidae	Heliconiinae	yes	both	G5					1	singly	cryptic	yes		june-sep	june-sep	nectar	63	83	73.0	aposematic
Speyeria	atlantis	Nymphalidae	Heliconiinae	yes	natural	G5					1	singly	cryptic	yes		june-sep	june-sep	nectar	50	70	60.0	aposematic
Speyeria	callippe	Nymphalidae	Heliconiinae	yes	natural	G5					1	singly				may-aug	may-aug		50	64	57.0	cryptic
Speyeria	coronis	Nymphalidae	Heliconiinae	yes	natural	G5					1	singly	cryptic	yes		june-sep	june-sep	nectar	50	86	68.0	aposematic
Speyeria	cybele	Nymphalidae	Heliconiinae	yes	both	G5					1		aposematic	yes		june-sep	june-sep	nectar	63	101	82.0	aposematic
Speyeria	diana	Nymphalidae	Heliconiinae	yes	natural	G3					1	singly	aposematic	yes		june-sep	june-sep	nectar, dung	87	113	100.0	aposematic
Speyeria	edwardsii	Nymphalidae	Heliconiinae	yes	natural	G5					1					june-sep	june-sep	nectar	63	86	74.5	aposematic
Speyeria	egleis	Nymphalidae	Heliconiinae	yes	natural	G5					1					june-aug	june-aug	nectar	45	60	52.5	cryptic
Speyeria	hydaspe	Nymphalidae	Heliconiinae	yes	natural	G5					1					june-sep	june-sep	nectar	50	64	57.0	cryptic
Speyeria	idalia	Nymphalidae	Heliconiinae	yes	both	G3					1	singly	aposematic	yes		june-aug	june-aug	nectar	67	105	86.0	aposematic
Speyeria	mormonia	Nymphalidae	Heliconiinae	yes	natural	G5					1	singly				june-sep	june-sep	nectar	38	61	49.5	cryptic
Speyeria	nokomis	Nymphalidae	Heliconiinae	yes	natural	G3					1	singly	cryptic	yes		july-sep	july-sep	nectar	63	79	71.0	cryptic
Speyeria	zerene	Nymphalidae	Heliconiinae	yes	natural	G5					1	singly				june-sep	june-sep		54	70	62.0	cryptic
Staphylus	ceos	Hesperiidae	Pyrginae	yes	natural	G4							cryptic	yes		april-dec	april-sep		24	29	26.5	cryptic
Staphylus	hayhurstii	Hesperiidae	Pyrginae	yes	both	G5					2	singly	cryptic	yes		april-sep	may-aug	nectar	25	32	28.5	cryptic
Staphylus	mazans	Hesperiidae	Pyrginae	yes	both	G5													25	30	27.5	cryptic
Staphylus	tierra	Hesperiidae	Pyrginae	yes															30	30	30	cryptic
Stinga	morrisoni	Hesperiidae	Hesperiinae	yes	natural	G4					1					april-may, september	may- july	nectar	25	29	27.0	cryptic
Strymon	acis	Lycaenidae	Theclinae	yes	natural	T1					4	singly				feb-nov	feb-nov	nectar	22	29	25.5	aposematic
Strymon	albata	Lycaenidae	Theclinae	yes		G5					2					june-dec	all year	nectar	29	35	32.0	cryptic
Strymon	alea	Lycaenidae	Theclinae	yes	natural	GU					4					april-dec	april-dec	nectar	19	29	24.0	cryptic
Strymon	bazochii	Lycaenidae	Theclinae	yes	natural	G5					3	singly				may-dec	may-dec	nectar	22	25	23.5	cryptic
Strymon	istapa	Lycaenidae	Theclinae	yes	natural	G5							cryptic	yes		all year	all year	nectar	22	32	27.0	aposematic
Strymon	martialis	Lycaenidae	Theclinae	yes	natural	G4										feb-dec	feb-dec	nectar	28	35	31.5	aposematic
