Genus	Species	Family	Subfamily	Native	Habitat	NCGR	OverwinteringStage	MinSouthBroodsPerYear	MaxSouthBroodsPerYear	MinNorthBroodsPerYear	MaxNorthBroodsPerYear	Clutches	LarvalColor	Hair	LarvaSequester	SouthFlightTime	NorthFlightTime	AdultFeeding	MinWingSpan	MaxWingSpan	AdultSize	AdultColor
Euphyes	pilatka	Hesperiidae	Hesperiinae	yes	both	G3	larva	2	3	2		singly	cryptic	yes		January - November	May - September	nectar	45	54	49.5	cryptic
Euphyes	vestris	Hesperiidae	Hesperiinae	yes	both	G5	larva	2	3	1		singly	cryptic	yes		May - September in the mid-south, March - October in the deep South and Texas	June - early August	nectar	29	35	32.0	cryptic
Euptoieta	claudia	Nymphalidae	Heliconiinae	yes	both	G5	larva	4		3		singly	aposematic	yes		February or March - November or December	April - October	nectar	45	80	62.5	aposematic
Euptoieta	hegesia	Nymphalidae	Heliconiinae	yes	both	G5		1		1		singly	aposematic	yes		all year in South Texas and tropics	September - October in central Texas	nectar, dung	65	75	70.0	aposematic
Eurema	boisduvaliana	Pieridae	Coliadinae	yes	both	G5		1		1			cryptic	yes		throughout the year in tropics	April - November in south Texas and northward	nectar	38	51	44.5	cryptic
Eurema	daira	Pieridae	Coliadinae	yes	both	G5	adult	1				singly	cryptic	yes		throughout the year in the Deep South		nectar	32	41	36.5	cryptic
Eurema	dina	Pieridae	Coliadinae																32	57	44.5	aposematic
Eurema	lisa	Pieridae	Coliadinae	yes	both	G5		4	5	1	3	singly	cryptic	yes		late spring to early fall	late spring to early fall	nectar	32	44	38.0	aposematic
Eurema	mexicana	Pieridae	Coliadinae	yes	both	G5		1		1		singly	aposematic	yes		all year in the tropics	midsummer to fall	nectar	44	63	53.5	aposematic
Eurema	nicippe	Pieridae	Coliadinae	yes	both	G5	adult	4	5			singly	cryptic	yes		througout the year	mid to late summer in the north	nectar	35	57	46.0	aposematic
Eurema	nise	Pieridae	Coliadinae																29	51	40.0	aposematic
Eurema	proterpia	Pieridae	Coliadinae																32	44	38.0	aposematic
Eurytides	marcellus	Papilionidae	Papilioninae	yes	both	G5	larva	2	3	2		singly	aposematic	yes	yes	March - December	April - August	nectar	64	104	84.0	aposematic
Eurytides	philolaus	Papilionidae	Papilioninae	yes	both	G5		2					aposematic	yes		March - November		nectar	90	95	92.5	aposematic
Everes	comyntas	Lycaenidae	Polyommatinae																21	29	25.0	aposematic
Feniseca	tarquinius	Lycaenidae	Miletinae	yes	natural	G4	chrysalis	3		2		singly	aposematic	yes		February - September	May - August	honeydew	30	32	31.0	aposematic
Ganyra	josephina	Pieridae	Pierinae	yes	natural	G5		1				singly	cryptic	yes		September - December		nectar	73	96	84.5	aposematic
Gesta	invisus	Hesperiidae	Pyrginae	yes	both	G5	larva	4		4			aposematic	yes		all year south of Texas	April - November in south Texa	nectar	24	35	29.5	cryptic
Glaucopsyche	lygdamus	Lycaenidae	Polyommatinae	yes	both	G5	chrysalis	1				singly	aposematic	yes		March - June at low elevations, June - August at high elevations		nectar	22	32	27.0	aposematic
Glaucopsyche	piasus	Lycaenidae	Polyommatinae	yes	both	G5	chrysalis	1				singly	aposematic	yes		March - July		nectar	29	35	32.0	aposematic
Gorgythion	begga	Hesperiidae	Pyrginae	yes	both	G5		1								March and December in South Texas			24	27	25.5	cryptic
Grais	stigmatica	Hesperiidae	Pyrginae	yes	both	G5		1		1						March - December in Mexico	April and July - October in South Texas		46	54	50.0	cryptic
Gyrocheilus	patrobas	Nymphalidae	Satyrinae	yes	natural	G4		1					cryptic	yes		mid - August to October			51	60	55.5	aposematic
Habrodais	grunus	Lycaenidae	Theclinae	yes	natural	G5	egg	1					cryptic	yes		June - September		mud, honeydew	25	32	28.5	cryptic
