Site	Lat	Lon	Merge
Franklin Mountains State Park, TX.	32.25	-106.42	NA
Freeman Lake, AB, Canada.	54.68	-115.65	NA
Freeport, TX.	29	-95.3833	NA
Furnace Hills, PA.	40.2262	-76.3027	NA
Galloway Township, NJ.	39.485	-74.5605	NA
Garfield Co.	41.8391	-99.2053	NA
Garret Mountain Reservation &amp; Riflecamp Park	40.8833	-74.1667	NA
Gaston County, NC.	35.25	-81.13	NA
Geauga Park District, OH.	41.43	-81.02	NA
Genesee Co. Parks	43.106	-83.6174	NA
Gettysburg, PA.	39.83	-77.23	NA
Giant Sequoia National Monument South	36	-118.4833	NA
Gilchrist Co., FL.	29.7267	-82.8317	NA
Gilmanton, WI.	44.4221	-91.6788	NA
Glass Mountain	37.784	-118.777	NA
Glen Haven, CO.	40.48	-105.47	NA
Glen Helen Nature Preserve, OH.	39.8	-83.88	NA
Goethe State Forest, FL.	29.0836	-82.6394	NA
Goliad, TX.	28.6565	-97.3852	NA
Gooding City of Rocks National Reserve	42.0594	-113.6803	NA
Gooding City of Rocks, ID.	43.1689	-114.6588	NA
Goose Pond	39.031	-87.2317	NA
Gospel Hump, ID.	45.6167	-115.983	NA
Gothic to Brush Creek Cow Camp, CO.	38.93	-106.93	NA
Government Canyon, TX.	29.42	-98.58	NA
Grand Canyon North Rim	36.1954	-112.0374	NA
Grand Isle, LA.	29.23	-90	NA
Grande Cache, AB, Canada.	53.95	-119.12	NA
Grande Prairie, AB, Canada.	55.17	-118.75	NA
Grandview	38.8742	-94.44	NA
Granville, OH.	40.05	-82.53	NA
Grasslands Park (West Block), SK, Canada.	49.2	-107.5	NA
Gratiot-Saginaw, MI.	43.2486	-84.409	NA
Grays Lake National Wildlife Refuge	43.048	-111.401	NA
Great Dismal Swamp, NC-VA.	36.65	-77.5	NA
Great Plains State Park, OK.	34.7387	-98.9873	NA
Great Swamp, NJ.	40.78	-74.4624	NA
Great Swamp, RI.	41.43	-71.57	NA
Greater Muskegon, MI.	43.2342	-86.1643	NA
Greater Peoria, IL.	40.75	-89.68	NA
Green Bottom, Cabell County, WV.	38.5	-82.18	NA
Green Island-Lost Mound	42.1956	-90.3435	NA
Green River Wildlife Area, IL.	41.585	-89.5161	NA
Greenbrook Sanctuary, NJ.	40.9144	-73.9327	NA
Greene County, OH.	39.6	-83.97	NA
Greene County, VA.	38.3	-78.42	NA
Greenwich Audubon Center, CT.	41.07	-73.68	NA
Grouse Creek	41.7511	-113.856	NA
Guadalupe Canyon, AZ-NM.	31.33	-109.07	NA
Guadalupe Mountains National Park, TX.	31.88	-104.82	NA
Guadalupe River, TX.	29.9167	-98.5167	NA
Guana Tolomato National Estuarine Research Reserve	30.0031	-81.3548	NA
Hagerman, ID.	42.8196	-114.8988	NA
Haliburton Highlands	44.8787	-78.6811	NA
Halifax, NS, Canada.	44.7667	-63.7	NA
Hall Valley, Park County, CO.	39.47	-105.8	NA
Halls Mills, NY.	41.8927	-74.5859	NA
Hanging Rock	36.3951	-80.2664	NA
Harney Peak, SD.	43.83	-103.5	NA
Harper's Ferry, WV.	39.33	-77.73	NA
Harris' Ranch	31.75	-101.85	NA
Harris Neck National Wildlife Refuge, GA.	31.6833	-81.3	NA
Hastings Reservation, CA.	36.336	-121.4993	NA
Hattiesburg, MS.	31.3072	-89.3166	NA
Hawk Mountain, PA.	40.5833	-75.9167	NA
Hazleton	40.9667	-75.9167	NA
Headwaters	42.7725	-83.5434	NA
Heard Museum, TX.	33.17	-96.62	NA
Hedtke's Pass, SD.	45.42	-97.42	NA
Heinz NWR at Tinicum	39.8877	-75.2594	NA
Helderberg, NY.	42.5667	-74.0167	NA
Helena	52	-112	NA
Hendricks, PA.	40.33	-75.47	NA
Henry County, IN.	39.92	-85.35	NA
Herkimer, NY.	43.1167	-74.9817	NA
Hernando Co. East	28.5431	-82.3221	NA
Hernando Co. East	28.1184	-82.5841	NA
Hernando County - West, FL.	28.55	-82.57	NA
High Falls, GA.	33.1787	-84.0179	NA
High Island, TX.	29.55	-94.47	NA
High Line Canal, CO.	39.7243	-104.8472	NA
High Springs, FL.	29.8475	-82.5846	NA
Highlands Hammock, FL.	27.4343	-81.564	NA
Hillsdale County, CO.	38.03	-107.38	NA
Hillsdale, MI.	41.8544	-84.593	NA
Hinton, AB, Canada.	53.4	-117.59	NA
Hiram, ME.	43.92	-70.73	NA
Hobcaw Barony, SC.	33.4312	-79.1645	NA
Holden Arboretum	41.6868	-81.3592	NA
Holtwood	39.9094	-76.315	NA
Honolulu, HI.	21.37	-157.8	NA
Hord Lake Recreation Area, NE.	41.08	-97.89	NA
Horseshoe Lake, IL.	38.695	-90.0915	NA
Horseshoe Mountain, CO	39	-106	NA
Houston Lakes, TX.	29.9382	-95.0885	NA
Houston, TX.	29.7333	-95.3667	NA
Howard Co.	39.2498	-76.9319	NA
Huntington, VT.	44.33	-73	NA
Huron County, OH.	41.12	-82.7	NA
Independence Oaks, MI.	42.74	-83.42	NA
Indian Bayou Wildlife Management Area, LA.	30.4066	-91.7088	NA
Indian Cave State Park, NE.	40.3151	-95.6149	NA
Indian Cave State Park, NE.	40.7662	-95.7401	NA
Indianola, TX.	28.5833	-96.5833	NA
Inks Lake, TX.	30.73	-98.37	NA
Innisfree-Birch Lake, AB, Canada.	53.42	-111.6	NA
Iowa City, IA.	41.7522	-91.6076	NA
Iredell Co.	35.9167	-80.85	NA
Islamorada, FL.	24.9518	-80.5889	NA
Island Ford, VA.	38.3519	-78.6899	NA
Islesboro, Waldo County, ME.	44.35	-68.9	NA
Itasca State Park, MN.	47.1917	-95.1709	NA
Ithaca, NY.	42.52	-76.55	NA
Jackson County, TX.	28.83	-96.5	NA
Jackson	35.5513	-88.7764	NA
Jamaica Bay Wildlife Refuge, NY.	40.62	-73.83	NA
Jarbidge, NV.	41.83	-115.43	NA
Jasper National Park, AB, Canada.	52.89	-118.08	NA
Jefferson County Glades, MO.	38.2	-90.53	NA
Jefferson County, WV.	39.22	-77.83	NA
Johnson County, IA.	41.67	-91.53	NA
Johnson County, IN.	39.48	-86.07	NA
Joshua Tree, CA.	34.0167	-116.1667	NA
Judson College, AL.	32.83	-87.17	NA
Junction, TX.	30.49	-99.77	NA
Juneau, AK.	58.37	-134.55	NA
Kanata, ON, Canada.	45.35	-75.92	NA
Kauai - Northwest, HI.	22.05	-159.67	NA
Kauai - Southeast, HI.	21.97	-159.42	NA
Kebler Pass-Erickson Springs, CO.	38.88	-107.21	NA
Kennedy-Dells Park, NY.	41.17	-74	NA
Kenosha, WI.	42.62	-87.87	NA
Kent Co.	41.5833	-71.575	NA
Kent County, RI.	41.87	-71.52	NA
Kern River Valley, CA.	35.73	-118.53	NA
Kernville, CA.	35.76	-118.62	NA
Kerrville, TX.	30.0476	-99.1405	NA
Key Largo, FL.	25.1761	-80.3696	NA
Key West, FL.	24.586	-81.6968	NA
Keystone Ancient Forest Preserve, OK.	36.17	-96.23	NA
Killbuck Marsh State Wildlife Area, OH.	40.71	-81.953	NA
Kingston Creek	39.2135	-117.1207	NA
Kingsville, Kleberg County, TX.	27.5	-97.88	NA
Kinsella, AB, Canada.	53	-111.52	NA
Kissimmee Prairie Sanctuary, FL.	27.5526	-80.9813	NA
Klamath Falls, OR.	42.17	-121.75	NA
Kleberg Co.	27.4988	-97.8736	NA
Knox Co.	44.2151	-69.1946	NA
Kokee State Park, Kauai, HI.	22.11	-159.67	NA
Konza Prairie, KS.	39.08	-96.58	NA
La Sal Mountains	38.5227	-109.3385	NA
Laguna Atascosa, TX.	26.33	-97.58	NA
Laidlaw Park, ID.	43.1548	-113.622	NA
Lake Arrowhead (LASP), TX.	33.76	-98.3983	NA
Lake Berryessa, CA.	38.52	-122.15	NA
Lake Blackshear, GA.	31.964	-83.8869	NA
Lake Bronson State Park, MN.	48.75	-96.53	NA
Lake Cle Elum, WA.	47.42	-121.29	NA
Lake Co. East	41.723	-81.0548	NA
Lake Louisa State Park, FL.	28.4997	-81.7187	NA
Lake Meyer	43.1688	-91.9039	NA
Lake of the Pines, TX.	32.8	-94.6	NA
Lake Placid, NY.	44.25	-73.9833	NA
Lake Somerville, TX.	30.3	-96.57	NA
Lake Texana, TX.	29.43	-96.4	NA
Lakehurst, NJ.	40	-74.37	NA
Lakes Regional Park, FL.	26.52	-81.88	NA
Land Between the Lakes North	36.8807	-88.0596	NA
Land Between The Lakes South	36.6058	-87.9407	NA
Lands End Road, CO.	39	-108.23	NA
LaPlatte Marsh, VT.	44.39	-73.23	NA
LaSalle County, IL.	41.2	-88.95	NA
Last Mountain Lake National Wildlife Area	51.4171	-105.2396	NA
Laurentian Divide, MN.	47.5667	-92.5333	NA
Lava Beds National Monument	41.7668	-121.5253	NA
Lavaca County, TX.	29.53	-96.95	NA
Lee County, FL.	26.65	-81.85	NA
Lehigh Valley Conservancy/Mariton Reserve, PA.	40.6	-75.2	NA
Lesser Slave Lake Provincial Park, AB, Canada.	55.48	-114.76	NA
Letchworth State Park, NY.	42.6573	-77.9713	NA
Lethbridge, AB, Canada.	49.7	-112.87	NA
Lexington, KY.	37.92	-84.47	NA
Lexington, VA.	37.848	-79.477	NA
Lima, OH.	40.75	-84.07	NA
Lincoln-Cane Ridge West, MT.	46.97	-112.57	NA
Lincoln, NE.	40.87	-96.78	NA
Little Blue Mountain, CO.	38.88	-105.33	NA
Little Buffalo State Park, PA.	40.38	-77.13	NA
Little Pend Oreille National Wildlife Refuge	48.5018	-117.6581	NA
Lockett Crossing, GA.	31.58	-84.22	NA
Long Key, FL.	24.8	-80.83	NA
Long Pond, PA.	41.05	-75.45	NA
Lookout Mountain, WA.	47.2	-120.68	NA
Lory State Park, CO.	40.57	-105.18	NA
Los Alamos, NM.	35.8797	-106.3216	NA
Lost Creek, Grand Teton National Park, WY.	43.75	-110.6	NA
Louisiana Nature Center, New Orleans, LA.	30.03	-89.95	NA
Love Creek	29.7897	-99.3349	NA
Loveland Pass, CO.	39.67	-105.88	NA
Lower Altamaha	31.3779	-81.5429	NA
Lower Bucks County, PA.	42.03	-75	NA
Lower East Pearl River	30.387	-89.7372	NA
Lower Hatchie	35.6525	-89.7774	NA
Lower Klamath Lake North	42	-121.75	NA
Lower Penobscot, ME.	44.5466	-68.8999	NA
Lower Pioneer Valley, MA.	42.1333	-72.55	NA
Lubbock, TX.	33.58	-101.88	NA
Luck Lake, SK, Canada.	51.08	-107.08	NA
Lumber River State Park, NC.	34.8382	-79.3493	NA
MacGregor Point Provincial Park, ON, Canada.	44.3731	-81.4384	NA
MacKay-Nojack, AB, Canada.	53.57	-115.55	NA
Madison, WI.	43.0899	-89.3838	NA
Madison/Old Lyme, CT.	41.28	-72.44	NA
Magee-Ottawa	41.6234	-83.2059	NA
Magic Mountain, ID.	42.1889	-114.2854	NA
Magnolia, TX.	30.2738	-95.7109	NA
Maidens, VA.	37.6423	-77.9575	NA
Mainland Dare Co.	35.7427	-75.8587	NA
Malibu, CA.	34	-118	NA
Manassas-Bullrun, VA.	38.83	-77.43	NA
Manatee County - East, FL.	27.33	-82.03	NA
Manatee County - West, FL.	27.5	-82.47	NA
Manhattan	39.1413	-96.6394	NA
Manion Corners, ON, Canada.	45.2565	-76.0653	NA
Manitoulin Island, ON, Canada.	45.8333	-82.75	NA
Maple Hill	34.605	-77.722	NA
Marathon, FL.	24.72	-81.07	NA
Marin Co.	37.9663	-122.5655	NA
Marion County, IL.	38.77	-88.82	NA
Marion County, KS.	38.25	-97	NA
Mariton Wildlife Sanctuary, PA.	40.6093	-75.2044	NA
Maroon Lake, Pitkin County, CO.	39.1	-106.95	NA
Marple, PA.	39.95	-75.38	NA
Martha's Vineyard, MA.	41.3667	-70.6333	NA
Martha LaFite Thompson Nature Sanctuary, MO.	39.32	-94.3133	NA
Martin Dies State Park, TX.	30.85	-94.27	NA
Mary's Peak, OR.	44.51	-123.55	NA
Mary Gray Bird Sanctuary, IN.	39.5765	-85.2072	NA
Mason Co.	40.1628	-89.9579	NA
Matador, SK, Canada.	50.68	-107.9	NA
McCormick's Creek State Park, IN.	39.28	-86.7	NA
McDonough Co.	40.3683	-90.7719	NA
McDowell Sonoran Preserve	33.7041	-111.7791	NA
McGraw Wildlife Foundation, IL.	42.07	-88.13	NA
McNair, MN.	47.32	-91.6717	NA
Medford, WI.	45.25	-90.27	NA
Medicine Hat, AB, Canada.	50.04	-110.65	NA
Medicine Lake, MT.	48.68	-104.6	NA
Mercer, NJ.	40.2694	-74.7663	NA
Meriden, CT.	41.5243	-72.7448	NA
Meridian State Park, TX.	31.92	-97.72	NA
Merrimac Farm	38.724	-77.5019	NA
Merritt Island National Wildlife Refuge	28.6714	-80.7379	NA
Methow Valley, WA.	48.52	-120.13	NA
Metolius, OR. (old)	44.42	-121.74	NA
Metolius, OR.	44.4733	-121.64	NA
Metro New Orleans, LA.	29.9416	-90.112	NA
Miami County, OH.	40.17	-84.42	NA
Middleboro, MA.	41.92	-70.97	NA
Midland, TX.	31.9869	-102.0279	NA
Minidoka National Wildlife Refuge, ID.	42.6479	-113.3544	NA
Missisquoi County, QC, Canada.	45.13	-72.8	NA
Mississippi Museum of Natural History, MS.	32.3995	-90.1	NA
Mohawk Dam, OH.	40.4245	-82.0821	NA
Monarch, MT.	47.05	-110.9333	NA
Monroe-Carbon	40.8473	-75.5409	NA
Monroe/Brown, IN.	39.094	-86.3277	NA
Monroeville, PA.	40.45	-79.77	NA
Montello, WI.	43.73	-89.4	NA
Monterey	36.5418	-121.8185	NA
Montgomery County, IA.	41	-95.25	NA
Montgomery County, VA.	37.17	-80.48	NA
Monticello, NY.	41.5684	-74.6321	NA
Montour Preserve, PA.	41.0632	-76.5479	NA
Moose Lake State Park, MN.	46.4393	-92.7304	NA
Morton Elrod Memorial, MT.	46.53	-114.1	NA
Mount Baden-Powell, CA.	34.37	-117.77	NA
Mount Desert Island, ME.	44.33	-68.33	NA
Mount Harrison, ID.	42.2845	-113.6485	NA
Mount Lassen	40.4609	-121.404	NA
Mount Magazine, AR.	35.17	-93.63	NA
Mount Pinos, CA.	34.17	-119.02	NA
Mount Shasta, CA.	41.25	-122.25	NA
Mount Snow, VT.	42.9682	-72.8946	NA
Mount Washington, Coos County, NH.	44.27	-71.3	NA
MPG Ranch	46.6808	-114.0284	NA
Mud Lake, WI.	43.4118	-89.3044	NA
Muriel Shirey Memorial, MN.	46.7767	-92.125	NA
Muscatatuck National Wildlife Refuge, IN.	38.95	-85.8	NA
Muttontown, NY.	40.853	-73.5352	NA
Mystic/New London, CT.	41.32	-72.08	NA
Nags Head Woods, NC.	35.98	-75.66	NA
Nashville South	36.0167	-86.8667	NA
Nassawango Creek, MD.	38.229	-75.4714	NA
Natural Corral Preserve, WY.	44.75	-109.38	NA
Neal Smith National Wildlife Refuge, IA.	41.53	-93.27	NA
Neillsville, WI.	44.52	-90.52	NA
New Hope, PA.	40.33	-74.92	NA
New London, CT.	41.3	-72.1	NA
Nickel Preserve, OK.	36.0239	-94.842	NA
Nine Mile, WI.	44.92	-89.7	NA
Niobrara Valley Preserve, NE.	42.78	-100.03	NA
Nixon Park, PA.	39.8854	-76.7322	NA
Noble Co.	41.3961	-85.4246	NA
North Buncombe Co.	35.6634	-82.6117	NA
North Delaware (Wilmington), DE.	39.7153	-75.6416	NA
North Eastham, MA.	41.86	-69.99	NA
North Essex Co.	42.7052	-70.9091	NA
North Fork Kern River Valley, CA.	35.7735	-118.4706	NA
North Hero, VT.	44.92	-73.15	NA
North Montpelier, VT.	44.32	-72.47	NA
North Mountain, PA.	41.32	-76.17	NA
North Park Village, IL.	41.98	-87.68	NA
North Warner Mountains	41.8985	-120.1816	NA
Northampton, MA.	42.3751	-72.6043	NA
Northern Berkshire Co.	42.6279	-73.1254	NA
Northern Calvert County, MD.	38.6	-76.62	NA
Northern Fairfax County, VA.	38.95	-77.2	NA
Northern Kettle Moraine, WI.	43.665	-88.1603	NA
Northern Loess Hills, IA-SD.	42.7	-96.57	NA
Northern Oconto Co.	45.2685	-88.4625	NA
Northern Shenandoah, VA.	38.85	-78.28	NA
Northern Westchester Co.	41.2012	-73.6804	NA
Northern Worcester Co.	42.4333	-71.8122	NA
Noxubee National Wildlife Refuge, MS.	33.2783	-88.7929	NA
O'Neill Regional Park	33.6508	-117.6022	NA
Oak Creek, WA.	46.7	-120.97	NA
Oak Openings Area	41.5839	-83.8444	NA
Oaky Woods	32.4634	-83.5734	NA
Ocala National Forest - North, FL.	29.38	-81.75	NA
Occoquan Bay, VA.	38.6392	-77.2404	NA
Ochoco, OR.	44.3667	-120.2667	NA
Ocoee, TN.	35.1556	-84.5755	NA
Ocracoke, NC.	35.15	-75.88	NA
Ohio River Islands, WV.	39.4	-81.22	NA
Okeechobee, FL.	27.2898	-80.8282	NA
Okefenokee National Wildlife Refuge, GA.	30.85	-82.02	NA
Oldham Co.	38.35	-85.5	NA
Olivet, MI.	42.4628	-84.9286	NA
ONeill Regional Park, CA.	33.72	-117.58	NA
Opal, AB, Canada.	53.99	-113.23	NA
Ophir Canyon	38.9383	-117.245	NA
Orange Co.	35.9722	-79.1295	NA
Orange County, CA.	33.7	-117.82	NA
Orange, TX.	30.07	-93.9	NA
Organ Mountains, NM.	32.3666	-106.65	NA
Orillia, ON, Canada.	44.63	-79.38	NA
Osceola National Forest, FL.	30.28	-82.48	NA
Osoyoos, BC, Canada.	49.08	-119.5	NA
Ottawa Co. - Grand River	43.0243	-85.9317	NA
Ottawa Co. - Lakeshore	43.8333	-85.9333	NA
Outagamie County, WI.	44.47	-88.42	NA
Outer Cape Cod, MA.	41.98	-70.05	NA
Ovando, MT.	47.02	-113.23	NA
Owego, NY.	42.1	-76.2333	NA
Owl's Hill (Nashville), TN.	36.02	-86.87	NA
Oxbow, SK, Canada.	49.23	-102.17	NA
Palestine Neil Pit Wildlife Habitat	39.0216	-87.621	NA
Palm Beach Co. Central	26.6509	-80.1741	NA
Palm Beach Co. North	26.883	-80.1311	NA
Palm Beach Co. South	26.4391	-80.1466	NA
Palm Harbor, FL.	28.05	-82.7333	NA
Palmetto, TX.	29.58	-98.37	NA
Paonia Reservoir, Gunnison County, CO.	39.95	-107.35	NA
Parc Du Mont Orford, QC, Canada.	45.33	-72.2	NA
Pasadena, CA.	34.173	-117.9912	NA
Pasco County, FL.	28.33	-82.65	NA
Patrick County, VA.	36.63	-80.3	NA
Peaks of Otter, VA.	37.4456	-79.61	NA
Pederson's Gardens/Anna-Gene Park, WI.	46.5107	-92.0145	NA
Pee Dee National Wildlife Refuge, NC.	35.092	-80.0727	NA
Pelee Island, ON, Canada.	41.77	-82.68	NA
Pender County	34.4667	-77.7167	NA
Pettigrew State Park, NC.	35.83	-76.42	NA
Piedmont/Rum Creek, GA.	33.0937	-83.7471	NA
Pigeon Lake, AB, Canada.	53.02	-114.07	NA
Pike Lake, SK, Canada. (split)	51.97	-106.77	NA
Pike Lake, SK, Canada.	51.88	-106.9	NA
Pine Log State Forest, FL.	30.4429	-85.874	NA
Pine Mountain, GA.	32.86	-84.85	NA
Pinecrest (Tri-Co.)	25.7553	-80.9256	NA
Piney Woods Parklands	30.1156	-95.2814	NA
Pinkham Notch, NH.	44.26	-71.25	NA
Pioneer Mountains, MT.	45.32	-112.85	NA
Pioneers Park Nature Center, NE.	40.7701	-96.7966	NA
Pleasantview Hills, ID.	42.2471	-112.5267	NA
Plouff Creek	47.802	-90.931	NA
Point Au Roche, NY.	44.67	-73.44	NA
Point Pelee, ON, Canada.	42.35	-82.0167	NA
Point Reyes, CA.	38.0833	-122.8667	NA
Pomona, CA.	34.12	-117.72	NA
Pontotoc Ridge, OK.	34.5127	-96.6081	NA
Pool Wildlife Sanctuary (Emmaus), PA.	40.55	-75.51	NA
Port Neal Field Station, IA-NE.	42.32	-96.35	NA
Portland, ME.	43.62	-70.25	NA
Portland, OR.	45.58	-122.75	NA
Powdermill Nature Reserve, PA.	40.1602	-79.2718	NA
Powell Gardens, MO.	38.9441	-94.03	NA
Powell Gardens, MO.	39.32	-94.3133	NA
PPG Industries, Monroeville Chemicals Center	40.4467	-79.7332	NA
Prairie Bluff, AB, Canada.	49.33	-114.1	NA
Preeceville, SK, Canada.	52.1667	-102.8833	NA
Prince George's Co.	38.7354	-76.8257	NA
Providence Co.	41.8667	-71.5167	NA
Prudence Island, RI.	41.62	-71.3	NA
Puget Prairies, WA.	46.83	-122.95	NA
Pushmataha County, OK	34.8	-95.47	NA
Putnam Co. East	36.1333	-85.3167	NA
Putnam Co. West	36.1545	-85.6583	NA
Quail Hollow, Hartville, OH.	40.8898	-81.3291	NA
Quail Ridge Ecological Reserve, CA.	38.5	-122.17	NA
Rabun Co.	34.9	-83.3	NA
Racoon Point, FL.	25.95	-80.92	NA
Ramsey Canyon, AZ.	31.424	-110.2238	NA
Ramsey Co.	45.0903	-93.1667	NA
Rancho Picachos	26.1928	-99.99	NA
Raritan Canal, NJ.	40.4297	-74.5557	NA
Rathbun Lake, IA.	40.79	-92.91	NA
Rattlesnake Jack's at Skin Gulch, Larimer County, CO.	40.67	-105.38	NA
Rattlesnake Spring, NM.	32.1	-104.47	NA
Ravalli, MT.	46.38	-114.17	NA
Raven Rock State Park, NC.	35.41	-78.82	NA
Raven, TX.	30.4958	-95.7167	NA
Red Canyon	42.65	-108.75	NA
Red River Gorge, KY.	37.75	-83.68	NA
Red Tail Farm, IN.	39.798	-87.118	NA
Reddish Knob, VA-WV.	38.42	-79.22	NA
Reelfoot Lake, TN.	36.43	-89.37	NA
Regina, SK, Canada.	50.45	-104.6167	NA
Reston, VA.	38.953	-77.3372	NA
Retzer Nature Center, WI.	43	-88.3	NA
Rice Center, Charles City County, VA.	37.33	-77.2	NA
Rice County, MN.	44.48	-93.07	NA
Rich Mountain	34.6846	-94.3693	NA
Richmond	37.5102	-77.4823	NA
Rick Evans Grandview Prairie WMA	33.7889	-93.7676	NA
Rick Evans Grandview Prairie WMA	33.1667	-93.9	NA
Ringtown Valley, PA.	41.48	-77.33	NA
Rio Arriba County, NM.	36.67	-106.25	NA
River Bend Nature Center, WI.	42.75	-87.82	NA
Riveredge Nature Center, WI.	43.3959	-87.9793	NA
Riverlands, PA.	41.1023	-76.1369	NA
Riverwoods-Shaw Arboretum, MO.	38.45	-90.65	NA
Riviere Harricana (Abitibi), QC, Canada.	48.37	-78.2	NA
Roan Mountain	36.1067	-82.1105	NA
Roanoke, VA.	37.3	-79.93	NA
Rocanville, SK, Canada.	50.5	-101.72	NA
Roche Percee, SK, Canada.	49.12	-102.78	NA
Rochester, MN.	44.0323	-92.4242	NA
Rochester, NY.	43.0887	-77.4975	NA
Rockingham Co.	36.4389	-79.9383	NA
Rockland Co.	41.132	-74.0531	NA
Rockport, TX.	28.07	-97.06	NA
Rocky Hill, CT.	41.63	-72.65	NA
Rocky Mountain National Park, CO.	40.35	-105.62	NA
Roland, GA.	32.8594	-84.4157	NA
Rookery Bay, FL.	26.03	-81.69	NA
Rowe Sanctuary, NE.	40.62	-98.88	NA
Roxborough Park, CO.	39.43	-105.07	NA
Roy Larsen Sandylands Sanctuary, TX.	30.354	-94.2954	NA
Ruby Creek Valley, MT.	45.08	-112.07	NA
Sabine National Forest, TX.	31.2833	-93.8167	NA
Sabino Canyon, AZ.	32.3656	-110.7774	NA
Saline River Watershed, MI.	42.1	-83.73	NA
Salisbury, CT.	42	-73.4	NA
Salmon, ID.	45.18	-113.88	NA
San Antonio-Northwest	29.5982	-98.6104	NA
San Antonio, TX.	29.41	-98.4686	NA
San Antonio, TX.	29.4133	-98.4686	NA
San Bruno Mountain, CA.	37.6875	-122.4363	NA
San Jacinto Co.	30.4667	-95.1833	NA
San Joaquin Co.	38.1544	-121.3018	NA
San Juan Capistrano, CA.	33.48	-117.65	NA
San Mateo area, FL.	29.56	-81.55	NA
Sandhill/Seneca, WI.	44.3656	-90.1126	NA
Sandhills Game Land	34.8777	-79.6743	NA
Sandia Mountains, NM.	35.2	-106.43	NA
Sandusky Bay	41.4167	-82.9333	NA
Sandy Creek, PA.	41.3183	-80.036	NA
Sandy Hook	40.425	-74.05	NA
Sanibel, FL.	26.4333	-82.0833	NA
Sanpete County, UT.	39.25	-111.55	NA
Santa Ana National Wildlife Refuge, TX.	26.1135	-98.0616	NA
Santa Fe, NM.	35.7184	-105.8488	NA
Santa Margarita, CA.	35.38	-120.6	NA
Santa Monica Mountains, CA.	34.58	-118.7	NA
Santa Ynez Canyon	34.0896	-118.6044	NA
Sapphire Mountains, MT.	46.85	-114.15	NA
Sarasota Co. - East	27.25	-82.3333	NA
Sarasota County - West, FL.	27.28	-82.6	NA
Saskatoon East	52.1368	-106.5274	NA
Saskatoon Island Provincial Park, Wembley, AB, Canada.	55.2	-119.08	NA
Saskatoon, SK, Canada.	52.1	-106.57	NA
Savannah National Wildlife Refuge	32.0842	-81.0667	NA
Schoodic Point, ME.	44.42	-68.1	NA
Schramm Park State Recreation Area, NE.	41	-96.25	NA
Science North	46.4709	-80.9964	NA
Sea Rim, TX.	29.73	-93.96	NA
Sealy, TX.	29.8	-96.14	NA
Sedalia, MO.	38.55	-93.25	NA
Sentinel Rock State Park, VT.	44.8286	-71.9481	NA
Sequoia National Forest South	35.5333	-118.4833	NA
Seven Ponds Nature Center, MI.	43.0014	-83.2428	NA
Severn Township, ON, Canada.	44.73	-79.57	NA
Sevilleta National Wildlife Refuge - West	34.3515	-106.8823	NA
Sewanee, TN.	35.2043	-85.921	NA
Shamrock Park, SK, Canada.	50.08	-106.5	NA
Shark Valley, Everglades National Park, FL.	25.6667	-80.675	NA
Shaver's Creek Environmental Center	40.6687	-77.9097	NA
Shaw Nature Reserve	38.4668	-90.8192	NA
Shawnee Hills, IL.	37.6	-88.58	NA
Shawnee State Park and Forest, OH.	38.7122	-83.1354	NA
Shelby Park and Bottoms (Nashville), TN.	36.11	-86.63	NA
Shenandoah National Park, VA.	38.5915	-78.4583	NA
Shenandoah, VA.	38.48	-78.62	NA
Shiawassee National Wildlife Refuge	43.3579	-83.999	NA
Shimek State Forest, IA.	40.5884	-91.6866	NA
Shreveport, LA.	32.3692	-93.7138	NA
Sibley State Park, MN.	45.32	-95.03	NA
Sierra Linda Count	25.4	-100.1167	NA
Signal Mountain, Grant Teton National Park, WY.	43.85	-110.57	NA
Silverwood Lake, CA.	34.28	-117.33	NA
Singer Lake, OH.	40.85	-81.62	NA
Sioux City - Tri-State, IA-NE-SD.	42.5	-96.4	NA
Sioux County Canyons, NE.	42.77	-103.93	NA
Sir Winston Churchill Provincial Park, AB, Canada.	54.82	-111.98	NA
Siskiyou Crest	42.0506	-122.8064	NA
Sister Bay, WI.	45.1783	-87.1047	NA
Skunk's Misery	42.7151	-81.7927	NA
Sky Meadows State Park/Thompson WMA	39.0153	-77.9638	NA
Snow Peak, OR.	44.63	-122.58	NA
Snowshoe, WV.	38.4	-79.98	NA
Snowy Range, Albany County, WY.	45.37	-106.25	NA
Soddy-Daisy, TN.	35.2933	-85.15	NA
Somervell County, TX.	32.23	-97.8	NA
Sonningdale, SK, Canada.	52.3	-107.8	NA
Sonoma Co.	38.3333	-122.6833	NA
South Fork Kern River Valley, CA.	35.6413	-118.1873	NA
South Lake Tahoe	38.8468	-120.041	NA
South Lyon Area, MI.	42.5779	-83.6591	NA
South Pinellas Co.	27.7121	-82.7149	NA
South River, ON, Canada.	45.83	-79.42	NA
South San Francisco Bay, CA.	37.48	-122.05	NA
South Washington County, MN.	44.93	-92.93	NA
Southeast Guilford County, NC.	36.23	-79.57	NA
Southeast Nicolet National Forest, WI.	45.28	-88.47	NA
Southeast Orange County, NY.	41.25	-74.28	NA
Southern Anne Arundel County, MD.	38.82	-76.57	NA
Southern Berkshire Co.	42.15	-73.3333	NA
Southern Bucks Co.	40.1813	-74.9003	NA
