Site	Lat	Lon	Merge
Petroglyphs, ON, Canada.	44.5881	-78.1566	61
Petroglyphs	44.5881	-78.1566	61
Pinery Provincial Park, ON, Canada.	43.2307	-81.8921	62
Pinery Provincial Park	43.2307	-81.8921	62
Pinery Provincial Park	43.2333	-81.9	62
Pinnacles National Monument, CA.	36.4647	-121.1978	63
Pinnacles National Park	36.4647	-121.1978	63
Portal, AZ.	31.85	-109.1667	64
Portal, AZ.	33.85	-109.1667	64
Rogue River, MI	43.2629	-85.6113	65
Rogue River	43.2629	-85.6113	65
Rondeau Provincial Park, ON, Canada.	42.3015	-81.9284	66
Rondeau Provincial Park	42.3015	-81.9284	66
Roosevelt National Forest, CO.	40.3653	-105.3253	67
Roosevelt National Forest, CO.	40.3652	-105.3254	67
San Francisco, CA. (old)	37.78	-122.42	68
San Francisco, CA.	37.7643	-122.4385	68
Santa Rita Mountains	31.7268	-110.8723	69
Santa Rita Mountains	31.7268	-110.8807	69
Saratoga Co. Airport, NY.	43.05	-73.8667	70
Saratoga County Airport, NY.	43.05	-73.87	70
Seven Devils, ID.	45.3667	-116.4333	71
Seven Devils, ID.	45.382	-116.4362	71
Sherman, CT. (variable)	41.57	-73.5	72
Sherman, CT.	41.85	-73.5	72
Steamburg-Allegany State Park, NY.	42	-78.87	73
Steamburg, NY.	42.1052	-78.8994	73
Stevenson, AL.	34.85	-85.8	74
Stevenson, AL.	34.8541	-85.8231	74
Stillhouse Hollow, TX.	31.0355	-97.5283	75
Stillhouse Hollow, TX.	30.9667	-97.6	75
Sugarite Canyon, NM/Lake Dorothey, CO.	37	-104.35	76
Sugarite State Recreation Area, NM.	36.97	-104.17	76
Sunderland, ON, Canada.	44.2567	-79.1836	77
Sunderland	44.2567	-79.1836	77
Tallahassee #1, FL.	30.42	-84.23	78
Tallahassee	30.449	-84.3045	78
Tampa, FL.	28.05	-82.35	79
Tampa, FL.	28.0542	-82.3537	79
Tennessee River Gorge, TN.	35.1244	-85.3904	80
Tennessee River Gorge, TN.	35.1167	-85.4	80
Thistlewaite Wildlife Management Area, LA.	30.6676	-92.0478	81
Thistlewaite Wildlife Management Area, LA.	30.6167	-92.05	81
Tishomingo National Wildlife Refuge, OK.	34.1925	-96.6446	82
Tishomingo National Wildlife Refuge, OK.	34.2	-96.65	82
Toronto (Centre), ON, Canada.	43.6563	-79.4524	83
Toronto (Centre)	43.6563	-79.4524	83
Toronto (Toronto Entomologists' Assoc.), ON, Canada.	43.78	-79.25	84
Toronto (Toronto Entomologists' Assoc.)	43.7833	-79.25	84
Transylvania Co.	35.2667	-82.7333	85
Transylvania Co.	35.2877	-82.7369	85
Waskesiu River, SK, Canada.	54.0765	-105.939	86
Waskesiu River	54.0765	-105.939	86
Weymouth Woods (Southern Pines), NC.	35.08	-79.45	87
Weymouth Woods	35.0833	-79.45	87
White Mountain, CA.	37.582	-118.2478	88
White Mountains	37.582	-118.2478	88
Windsor, ON, Canada.	42.2368	-82.9638	89
Windsor	42.2368	-82.9638	89
Yosemite National Park	37.9282	-119.2486	90
Yosemite National Park	37.9469	-119.2544	90
Abilene, TX.	32.43	-99.73	NA
ACAS, MD.	39.4234	-77.1931	NA
Adair Tower, AB, Canada.	59.16	-118.33	NA
Adams Co.	38.7718	-83.4136	NA
Adams County Preserves, OH.	38.74	-83.44	NA
Aiken Canyon, CO.	38.62	-104.5	NA
Airlie Center, VA.	38.7566	-77.7943	NA
Akron, OH.	41.0605	-81.5637	NA
Albemarle Co.	38.0441	-78.5886	NA
Albert, NB, Canada.	45.68	-64.73	NA
Albuquerque, NM.	35.13	-106.43	NA
Alexandria, LA.	31.2742	-92.467	NA
Algonquin East, ON, Canada.	45.9833	-77.9	NA
Algonquin Park, ON, Canada.	45.5667	-78.4	NA
Allaire, NJ.	40.235	-74.19	NA
Allegan, MI.	42.5492	-86.0074	NA
Allegany State Park, NY.	42.1	-78.72	NA
Allen Acres Natural Area	30.8661	-93.0846	NA
Allen Co.	41.2167	-85.0833	NA
Alva, FL.	26.7153	-81.6726	NA
Ames, IA.	42.13	-93.58	NA
Amherst, WI.	44.33	-89.42	NA
